SURVYEAR,FIPST,STABR,SEANAME,STREET,CITY,STNAME,ZIP,ZIP4,PHONE,PKTCH,KGTCH,ELMTCH,SECTCH,UGTCH,TOTTCH,AIDES,CORSUP,ELMGUI,SECGUI,TOTGUI,LIBSPE,LIBSUP,LEAADM,LEASUP,SCHADM,SCHSUP,STUSUP,OTHSUP,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,UG,MEMBER,REGDIP,OTHDIP,EQUIV,OTHCOM,AMPK,ASPK,HIPK,BLPK,WHPK,AMKG,ASKG,HIKG,BLKG,WHKG,AM01,AS01,HI01,BL01,WH01,AM02,AS02,HI02,BL02,WH02,AM03,AS03,HI03,BL03,WH03,AM04,AS04,HI04,BL04,WH04,AM05,AS05,HI05,BL05,WH05,AM06,AS06,HI06,BL06,WH06,AM07,AS07,HI07,BL07,WH07,AM08,AS08,HI08,BL08,WH08,AM09,AS09,HI09,BL09,WH09,AM10,AS10,HI10,BL10,WH10,AM11,AS11,HI11,BL11,WH11,AM12,AS12,HI12,BL12,WH12,AMUG,ASUG,HIUG,BLUG,WHUG,AM,AS,HI,BL,WH,AMREGDIP,ASREGDIP,HIREGDIP,BLREGDIP,WHREGDIP,AMODIP,ASODIP,HIODIP,BLODIP,WHODIP,AMEQUIV,ASEQUIV,HIEQUIV,BLEQUIV,WHEQUIV,AMOHC,ASOHC,HIOHC,BLOHC,WHOHC,IPKTCH,IKGTCH,IELMTCH,ISECTCH,IUGTCH,ITOTTCH,IAIDES,ICORSUP,IELMGUI,ISECGUI,ITOTGUI,ILIBSPE,ILIBSUP,ILEAADM,ILEASUP,ISCHADM,ISCHSUP,ISTUSUP,IOTHSUP,IPK,IKG,IG01,IG02,IG03,IG04,IG05,IG06,IG07,IG08,IG09,IG10,IG11,IG12,IUG,IMEMBER
1999,55,WI,WI DEPT OF PUBLIC INSTRUCTION,PO BOX 7841,MADISON,WISCONSIN,53707,-7841.0,(800) 441-4563,890,2382,39427,18079,N,60778,11811,1528,1143,880,2023,1416,842,901,2857,2548,4388,4495,16364,20790,58524,61401,62251,63674,64908,64943,64967,67103,67878,78961,70934,67343,64076,N,877753,58312,N,7892,N,227,1079,1512,4547,13425,794,1995,3004,6440,46291,933,2233,3274,7480,47481,920,2112,3137,7316,48766,973,2307,2963,7183,50248,1001,2232,2867,7220,51588,978,2265,2716,6881,52103,995,2160,2625,6532,52655,997,2024,2546,6363,55173,1029,2090,2373,5757,56629,1152,2171,3094,8199,64345,940,2016,2349,5227,60402,786,1776,1933,4041,58807,697,1719,1689,3116,56855,N,N,N,N,N,12422,28179,36082,86302,714768,538,1373,1405,2581,52415,N,N,N,N,N,M,M,M,M,M,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,5,AR,ARKANSAS DEPT. OF EDUCATION,#4 CAPITOL MALL,LITTLE ROCK,ARKANSAS,72201,-1071.0,((50) 1)6-82-4,80,1946,11541,13054,4741,31362,5526,250,684,751,1435,1018,211,557,747,1613,1292,2528,13216,1425,34218,34640,35062,35586,35707,35020,34397,35267,35403,36657,35081,31839,29316,1416,451034,26896,N,6839,0,3,18,51,884,469,158,265,1542,8209,24044,145,251,1496,8589,24159,174,280,1290,8387,24931,176,256,1229,8426,25499,150,306,1152,8470,25629,169,278,1032,8165,25376,152,286,988,7818,25153,188,300,1010,8019,25750,174,300,910,8043,25976,166,295,891,8433,26872,151,349,834,8255,25492,145,319,654,7121,23600,135,325,553,6379,21924,13,7,19,582,795,2099,3835,13651,105780,325669,92,288,390,5854,20272,N,N,N,N,N,109,7,270,905,5417,0,0,0,0,0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,40,OK,DEPARTMENT OF EDUCATION,DATA/RESEARCH SERVICES,OKLAHOMA CITY,OKLAHOMA,73105,-4599.0,(405) 521-3354,556,1626,17086,17684,4546,41498,6166,150,474,1044,1518,980,193,723,1894,2011,3073,1212,14413,20894,43603,51656,47318,47113,47039,46853,46296,46737,46999,50270,46441,42652,40024,3137,627032,36556,N,7895,M,3497,307,1397,2620,13073,6995,580,2966,5101,27961,8349,632,3655,5992,33028,7895,616,2948,5466,30393,7867,610,2796,5469,30371,7882,612,2611,5405,30529,7953,645,2568,5038,30649,7792,637,2455,4999,30413,7949,630,2424,4912,30822,7808,662,2298,4711,31520,7844,708,2503,5437,33778,7330,688,2031,4500,31892,6782,650,1593,3810,29817,6045,682,1381,3376,28540,504,27,130,416,2060,102492,8686,33756,67252,414846,5191,591,1108,3207,26459,N,N,N,N,N,1002,59,528,777,5282,M,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,35,NM,DEPARTMENT OF EDUCATION,"EDUCATION BUILDING, ROOM",SANTA FE,NEW_MEXICO,87503,-2786.0,(505) 827-6526,134,828,10479,4680,3676,19797,4748,604,257,447,704,282,739,765,1716,951,2083,2239,8556,3127,22557,25349,25276,25732,25573,25511,24997,25148,25322,29307,25601,22054,18941,N,324495,17317,N,M,230,386,25,1460,69,1187,2458,251,12134,566,7148,2684,268,13391,606,8400,2681,251,13117,645,8582,2767,249,13067,642,9007,2790,278,12942,606,8957,2737,248,12647,608,9271,2726,261,12330,596,9084,2629,252,12535,519,9213,2674,267,12390,581,9410,3625,304,14389,628,10361,2983,290,11989,603,9736,2518,243,9859,500,8934,2017,230,8095,419,8180,N,N,N,N,N,35675,3417,160345,7588,117470,1631,256,7497,358,7575,N,N,N,N,N,M,M,M,M,M,46,9,92,8,75,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,11,DC,DISTRICT OF COLUMBIA PUBLIC SC,"825 N. CAPITOL STREET,NE,",WASHINGTON,DISTRICT_OF_COLUMBIA,20002,,(202) 442-4226,254,207,2467,1884,N,4812,1129,77,80,103,183,105,86,113,261,243,363,319,1802,4774,6617,7325,6972,6702,6070,5584,4539,4331,4408,5289,4113,3550,2897,4023,77194,2675,N,M,56,2,63,431,3804,193,1,87,621,5013,323,2,86,650,5734,303,5,77,576,5477,273,0,75,561,5265,289,1,75,476,4773,265,4,84,449,4370,264,5,78,373,3451,209,0,68,332,3192,150,1,79,342,3420,147,4,92,441,3976,114,2,87,323,3154,123,1,73,268,2888,126,0,69,228,2407,107,1,13,119,3376,251,30,1123,6382,66508,3151,3,146,189,2255,82,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,I,I,I,I,R,T,I,I,T,I,I,I,I,I,I,I,I,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,21,KY,DEPARTMENT OF EDUCATION,DIVISION OF INTEGRATED SE,FRANKFORT,KENTUCKY,40601,,(502) 573-1432,695,1435,20684,11868,7272,41954,14423,400,817,495,1312,1097,316,1087,2738,1861,1686,2187,24271,15609,46373,49086,48829,49246,49962,48870,47662,48983,48427,56678,47647,43483,39111,8214,648180,37048,N,M,305,25,106,336,2585,13579,54,178,509,4929,39837,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,58,213,409,5227,43564,38,215,383,5163,42591,60,225,348,4964,41570,59,261,309,4830,43080,42,241,300,4970,42433,50,274,398,6052,49301,42,285,296,4612,41919,38,230,277,4029,38448,28,231,192,3220,34913,177,643,1489,16967,133943,671,3102,5246,67548,565178,252,213,89,3016,33476,N,N,N,N,N,M,M,M,M,M,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,C,C,C,R,R,R,R,R,R,R,R,R,A,R
1999,9,CT,DEPARTMENT OF EDUCATION,PO BOX 2219,HARTFORD,CONNECTICUT,6145,-2219.0,(860) 566-3847,165,1522,21735,11487,4998,39907,10544,395,467,709,1175,729,825,1197,1834,1959,2811,3864,14607,10518,42193,44825,43974,44930,45307,44712,43524,42725,41205,43977,39273,35160,31670,N,553993,28284,N,2022,N,42,278,2146,2017,6035,114,1282,5939,5780,29078,95,1251,6386,6393,30700,83,1244,6133,6299,30215,92,1184,6100,6535,31019,93,1178,6041,6360,31635,120,1104,5771,6389,31328,116,1149,5406,5911,30942,106,1043,5528,5720,30328,116,1054,4861,5335,29839,157,1130,6043,6261,30386,145,1026,4342,5220,28540,95,992,3411,4437,26225,119,973,2732,3497,24349,N,N,N,N,N,1493,14888,70839,76154,390619,67,790,2262,2920,22245,N,N,N,N,N,25,39,238,335,1385,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,6,CA,CALIFORNIA DEPT OF EDUCATION,PO BOX 944272,SACRAMENTO,CALIFORNIA,95814,,(916) 657-4332,4577,22895,165311,68292,26358,287433,62753,6088,2332,3742,6074,1379,3976,2447,22197,12536,30346,13281,84244,85992,459771,484535,485130,488981,489356,464380,451810,439075,431730,482355,444161,401348,347914,82052,6038590,299221,N,18427,M,M,M,M,M,M,3441,44392,225122,35678,147868,3655,48110,232715,40979,156745,3768,49104,226572,41154,162558,3734,49738,221453,42528,169762,4048,50395,213055,43040,177084,4027,50078,194052,41782,172904,3858,50963,185082,39556,170767,3901,49099,177066,38576,168505,3839,48720,170260,36724,170917,4570,54956,195510,41619,183299,4353,54977,171048,36228,175976,3768,53892,144138,31575,166556,3199,49370,117062,26414,150224,589,4319,40318,13784,22541,50750,658113,2513453,509637,2195706,2665,44031,95438,22065,134229,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,I,R,R,R,R,T,R,R,R,R,R,R,C,R,R,R,R,R,A,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,T
1999,60,AS,AMERICAN SAMOA DEPTARTMENT OF,GOVERNMENT OF AMERICAN SA,PAGO PAGO,AMERICAN_SAMOA,96799,,(684) 633-5237,118,35,424,209,15,801,121,30,12,18,30,6,25,35,48,56,61,63,337,1399,1170,1312,1264,1172,1157,1161,1086,1131,1047,1059,926,825,725,43,15477,725,N,15,1,0,1399,0,0,0,0,1170,0,0,0,0,1312,0,0,0,0,1264,0,0,0,0,1172,0,0,0,0,1157,0,0,0,0,1161,0,0,0,0,1086,0,0,0,0,1131,0,0,0,0,1047,0,0,0,0,1059,0,0,0,0,926,0,0,0,0,825,0,0,0,0,725,0,0,0,N,43,N,N,N,0,15477,0,0,0,0,725,0,0,0,N,N,N,N,N,M,15,M,M,M,0,1,0,0,0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,23,ME,DEPARTMENT OF EDUCATION,MANAGEMENT INFORMATION SY,AUGUSTA,MAINE,4333,,(207) 287-5841,190,851,10101,5207,N,16349,5028,198,355,274,629,247,369,504,734,885,1017,1268,5274,1101,14274,15296,15716,15950,16530,16695,16946,17003,17493,17036,15565,14237,13022,2389,209253,11988,N,299,120,50,9,4,3,1035,98,152,92,187,13745,98,162,115,191,14730,88,166,79,166,15217,92,157,104,171,15426,92,163,86,189,16000,95,167,76,196,16161,113,186,80,194,16373,118,151,98,144,16492,121,153,82,163,16974,130,143,67,126,16570,110,167,67,137,15084,71,142,60,100,13864,79,141,77,103,12622,15,11,31,43,2289,1370,2070,1118,2113,202582,50,124,42,76,11696,N,N,N,N,N,M,M,1,2,296,0,3,4,1,112,C,C,A,R,R,R,R,R,R,R,R,R,R,R,C,R,C,R,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,34,NJ,DEPARTMENT OF EDUCATION,RIVERVIEW EXECUTIVE PLAZA,TRENTON,NEW_JERSEY,8625,-500.0,(609) 984-6617,323,3569,50351,27226,14414,95883,17761,1364,1406,2002,3408,1809,1046,1778,6928,4459,8627,9602,25388,14194,89520,101868,99708,100808,100361,98921,96113,92672,88757,89234,80654,73096,69647,93703,1289256,67410,N,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,182,1331,12243,17837,35574,2603,78012,191689,233406,783685,130,4615,7438,9679,45651,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,56,WY,DEPARTMENT OF EDUCATION,2300 CAPITOL AVE,CHEYENNE,WYOMING,82002,-50.0,(307) 777-7675,0,212,3001,3532,195,6940,1694,136,142,223,365,133,186,188,389,341,581,403,2575,0,6133,6400,6487,6736,6878,6797,7091,7389,7715,8059,7958,7370,7049,43,92105,6348,N,M,13,0,0,0,0,0,193,46,498,81,5315,242,65,538,86,5469,224,51,526,99,5587,233,73,528,91,5811,227,69,515,86,5981,220,62,466,103,5946,237,63,457,95,6239,224,52,488,57,6568,230,58,481,59,6887,231,56,492,68,7212,217,58,461,61,7161,131,67,382,47,6743,100,48,406,33,6462,N,N,4,1,38,2709,768,6242,967,81419,42,33,362,112,5799,N,N,N,N,N,M,M,M,M,M,0,2,3,0,8,R,R,R,R,R,R,R,R,C,C,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,49,UT,DEPARTMENT OF EDUCATION,250 EAST 500 SOUTH,SALT LAKE CITY,UTAH,84111,,(801) 538-7674,119,876,9532,8909,2396,21832,5258,618,103,555,658,308,421,109,740,949,1821,522,6999,4281,34963,35396,36285,35953,35921,35134,35472,34493,35170,35961,36990,36905,36594,10737,480255,31574,N,2098,195,69,111,342,39,3720,522,844,3403,351,29843,567,989,3422,348,30070,632,980,3519,356,30798,590,972,3322,384,30685,614,971,3170,333,30833,607,942,2922,334,30329,565,1011,2861,325,30710,584,929,2659,293,30028,546,891,2572,290,30871,535,936,2426,272,31792,497,1010,2436,237,32810,478,987,2266,262,32912,431,912,1848,215,33188,262,199,1105,220,8951,7499,12684,38273,4259,417540,291,685,1234,136,29228,N,N,N,N,N,63,48,235,51,1701,10,12,23,4,146,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,66,GU,DEPARTMENT OF EDUCATION,PO BOX DE,AGANA,GUAM,96932,,(671) 475-0512,27,120,807,840,15,1809,693,110,14,26,40,19,24,20,187,51,533,50,149,584,2756,2310,2860,2734,2813,2663,2543,2446,2442,3457,2234,1717,1392,N,32951,1326,N,M,N,1,575,2,1,5,3,2685,4,11,53,0,2251,7,11,41,3,2782,5,16,54,1,2664,7,9,53,5,2734,5,9,60,2,2582,8,5,66,0,2483,8,15,37,5,2375,4,11,51,3,2387,4,7,41,4,3381,5,12,55,1,2171,7,3,52,1,1674,6,4,32,0,1347,8,3,34,N,N,N,N,N,29,32091,80,117,634,0,1276,2,6,42,N,N,N,N,N,M,M,M,M,M,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
