Agency Name,Agency Contract No.,Contractor Name,Contractor Name D/B/A (Optional),Statewide Vendor Number (Optional),Purpose of the Contract,Purpose of the Contract Description (Optional),Contract Effective Start Date,Contract Effective End Date,Period of Performance Start Date,Period of Performance End Date,Federal Amount,State Amount,Other Amount,Cost of Contract,Explanation of Costs (Optional),Procurement Type (Competitive or Non-Competitive),Small Business Status (Optional)
"Attorney General, Office of the (ATG)",K6916-1,Promotion Holdings Global Inc,,SWV0165890-00,ER-Other Contractual Services,Litigation Support,08/25/2017 12:00:00 AM,06/30/2019 12:00:00 AM,08/25/2017 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
Arts Commission (ART),AIE2019-119,Pacific Northwest Ballet,,0043749,"CA-Management, Organizational and Major Information Technology Services",,05/10/2019 12:00:00 AM,06/30/2019 12:00:00 AM,05/10/2019 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,1500.0,0,1500.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",K8239,Moe  Royce Howard,,SWV0183036-00,CB-Legal and Expert Witness Services,Mediation,07/01/2018 12:00:00 AM,09/01/2018 12:00:00 AM,07/01/2018 12:00:00 AM,09/01/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K6915-2,Podo Llc,,SWV0227626-00,ER-Other Contractual Services,Litigation Support,06/10/2019 12:00:00 AM,06/30/2020 12:00:00 AM,06/10/2019 12:00:00 AM,06/30/2020 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",2262 (1),"Perkins Coie, LLP",,,CB-Legal and Expert Witness Services,Outside Legal Services,04/22/2016 12:00:00 AM,03/31/2020 12:00:00 AM,04/22/2016 12:00:00 AM,03/31/2020 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2236 (9),Perkins Coie,,,CB-Legal and Expert Witness Services,Outside Legal Services,01/01/2016 12:00:00 AM,12/31/2019 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",10800155 (1),Perkins Coie LLP,,,CB-Legal and Expert Witness Services,Outside Legal Services,05/01/2018 12:00:00 AM,08/01/2018 12:00:00 AM,05/01/2018 12:00:00 AM,08/01/2018 12:00:00 AM,0.0,25000.0,0,25000.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2379 (2),Hillis Clark Martin & Peterson,,,CB-Legal and Expert Witness Services,Outside Legal Services,11/21/2017 12:00:00 AM,11/20/2019 12:00:00 AM,11/21/2017 12:00:00 AM,11/20/2019 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K9060,Casey  Paula Kay,,SWV0100242-00,CB-Legal and Expert Witness Services,Mediation,03/04/2019 12:00:00 AM,05/04/2019 12:00:00 AM,03/04/2019 12:00:00 AM,05/04/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8515,University of Washington,UW Pack Forest,SWV0000210-86,EH-Rentals and Leases - Furnishings and Equipment,Facility Rental,08/01/2018 12:00:00 AM,09/30/2018 12:00:00 AM,08/01/2018 12:00:00 AM,09/30/2018 12:00:00 AM,0.0,10912.75,0,10912.75,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",2271,Kilpatrick Townsend & Stockton LLP,,,CB-Legal and Expert Witness Services,Outside Legal Services,06/01/2016 12:00:00 AM,05/31/2020 12:00:00 AM,06/01/2016 12:00:00 AM,05/31/2020 12:00:00 AM,0.0,22290.0,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",10792636 (4),Harrigan Leyh Farmer & Thomsen LLP,,,CB-Legal and Expert Witness Services,Outside Legal Services,02/25/2018 12:00:00 AM,02/28/2020 12:00:00 AM,02/25/2018 12:00:00 AM,02/28/2020 12:00:00 AM,0.0,570000.0,0,570000.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K9084,Wakeen & Associates Mediation,,SWV0191621-00,CB-Legal and Expert Witness Services,Mediation,06/12/2019 12:00:00 AM,08/12/2019 12:00:00 AM,06/12/2019 12:00:00 AM,08/12/2019 12:00:00 AM,0.0,2670.0,0,2670.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2150,Canady & Lortz,,,CB-Legal and Expert Witness Services,Outside Legal Services,04/30/2016 12:00:00 AM,03/31/2020 12:00:00 AM,04/30/2016 12:00:00 AM,03/31/2020 12:00:00 AM,0.0,68051.0,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",10825784 (1),Lane Powell PC,,,CB-Legal and Expert Witness Services,Outside Legal Services,01/03/2019 12:00:00 AM,12/31/2019 12:00:00 AM,01/03/2019 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,160000.0,0,160000.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",10804272 (3),"Thaxton Parkinson, PLLC",,,CB-Legal and Expert Witness Services,Outside Legal Services,06/04/2018 12:00:00 AM,08/30/2019 12:00:00 AM,06/04/2018 12:00:00 AM,08/30/2019 12:00:00 AM,0.0,65000.0,0,65000.0,,Competitive,
Arts Commission (ART),AIE2019-110,Praxis Essentials (Olisa Darby),,0249932,"CA-Management, Organizational and Major Information Technology Services",,03/28/2019 12:00:00 AM,04/29/2019 12:00:00 AM,03/28/2019 12:00:00 AM,04/29/2019 12:00:00 AM,0.0,415.63,0,415.63,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",2420 (1),Hillis Clark Martin & Peterson,,,CB-Legal and Expert Witness Services,Outside Legal Services,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2236 (12),Perkins Coie,,,CB-Legal and Expert Witness Services,Outside Legal Services,01/01/2016 12:00:00 AM,12/31/2019 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2278 (1),Bauer Moynihan & Johnson,,,CB-Legal and Expert Witness Services,Outside Legal Services,07/01/2016 12:00:00 AM,04/30/2020 12:00:00 AM,07/01/2016 12:00:00 AM,04/30/2020 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8710,Mindgen Llc,Amy Jeanguenat,SWV0245633-00,CJ-Employee Training Services,Professional Services,12/10/2018 12:00:00 AM,12/31/2018 12:00:00 AM,12/10/2018 12:00:00 AM,12/31/2018 12:00:00 AM,0.0,4600.0,0,4600.0,,Direct Buy - Non-Competitive,
Arts Commission (ART),AIE2019-081,Crystal Lanz,,0243927,"CA-Management, Organizational and Major Information Technology Services",,10/21/2018 12:00:00 AM,10/22/2018 12:00:00 AM,10/21/2018 12:00:00 AM,10/22/2018 12:00:00 AM,0.0,0.0,0,0.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",K7229-7,A-1 Performance Inc,A-1 Performance Inc.,SWV0004140-00,ER-Other Contractual Services,Professional Services,09/30/2016 12:00:00 AM,09/30/2017 12:00:00 AM,09/30/2016 12:00:00 AM,09/30/2017 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",2374,K&L Gates,,,CB-Legal and Expert Witness Services,Outside Legal Services,11/01/2017 12:00:00 AM,10/31/2019 12:00:00 AM,11/01/2017 12:00:00 AM,10/31/2019 12:00:00 AM,0.0,259600.0,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K9323,Wakeen and Associates Mediation Services,Wakeen and Associates Mediation Services,T000156578,CB-Legal and Expert Witness Services,Mediation,06/11/2019 12:00:00 AM,08/11/2019 12:00:00 AM,06/11/2019 12:00:00 AM,08/11/2019 12:00:00 AM,0.0,2670.0,0,2670.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",10661806 (5),"Stoel Rives, LLP",,,CB-Legal and Expert Witness Services,Outside Legal Services,03/16/2015 12:00:00 AM,10/31/2019 12:00:00 AM,03/16/2015 12:00:00 AM,10/31/2019 12:00:00 AM,0.0,256000.0,0,256000.0,,Competitive,
"Attorney General, Office of the (ATG)",K8522,Practical Dispute Resolution,Kubik Mediation,SWV0082763-00,CB-Legal and Expert Witness Services,Mediation,10/04/2018 12:00:00 AM,12/04/2018 12:00:00 AM,10/04/2018 12:00:00 AM,12/04/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2158,Hillis Clark Martin & Peterson,,,CB-Legal and Expert Witness Services,Outside Legal Services,03/01/2015 12:00:00 AM,03/31/2020 12:00:00 AM,03/01/2015 12:00:00 AM,03/31/2020 12:00:00 AM,0.0,1842.06,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2236 (11),Perkins Coie,,,CB-Legal and Expert Witness Services,Outside Legal Services,01/01/2016 12:00:00 AM,12/31/2019 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
Archaeology & Historic Preservation (DAHP),ESRI TASK ORDER #10,ESRI,,,CD-Computer and Information Services,GIS database development,08/27/2018 12:00:00 AM,06/30/2019 12:00:00 AM,08/27/2018 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,0.0,126000,126000.0,,Master Contract,
"Attorney General, Office of the (ATG)",K9374,Michelstetter Stanley,Michelstetter Stanley,T000156887,CB-Legal and Expert Witness Services,Arbitration,08/20/2018 12:00:00 AM,10/18/2018 12:00:00 AM,08/20/2018 12:00:00 AM,10/18/2018 12:00:00 AM,0.0,8125.0,0,8125.0,,Competitive Solicitation - Exceptions,
Arts Commission (ART),GO2019-090,Artist Trust,,0036842,"CA-Management, Organizational and Major Information Technology Services",,12/12/2018 12:00:00 AM,06/30/2019 12:00:00 AM,12/12/2018 12:00:00 AM,06/30/2019 12:00:00 AM,500.0,0.0,0,500.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",K8211,Opposite Strengths Inc,,SWV0076709-00,EJ-Subscriptions,Professional Services,07/01/2018 12:00:00 AM,06/30/2019 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,13700.0,0,13700.0,,Sole Source,
"Attorney General, Office of the (ATG)",K6917-1,Rational Enterprise,Rational Enterprise,T000157659,ER-Other Contractual Services,Litigation Support,06/10/2019 12:00:00 AM,06/30/2020 12:00:00 AM,06/10/2019 12:00:00 AM,06/30/2020 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",K8322,Myers and Stauffer Lc,,SWV0149737-00,CC-Financial Services,Professional Services,08/27/2018 12:00:00 AM,09/18/2018 12:00:00 AM,08/27/2018 12:00:00 AM,09/18/2018 12:00:00 AM,0.0,17780.0,0,17780.0,,Competitive,
"Attorney General, Office of the (ATG)",K8834,Alarm Center Inc,,SWV0076325-00,"EE-Repairs, Alterations, and Maintenance",Professional Services,11/29/2018 12:00:00 AM,11/29/2019 12:00:00 AM,11/29/2018 12:00:00 AM,11/29/2019 12:00:00 AM,0.0,26553.94,0,26553.94,,Master Contract,
"Attorney General, Office of the (ATG)",2238 (2),Hogan & Lovells US LLP,,,CB-Legal and Expert Witness Services,Outside Legal Services,03/01/2016 12:00:00 AM,02/28/2020 12:00:00 AM,03/01/2016 12:00:00 AM,02/28/2020 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K7229-1,A-1 Performance Inc,A-1 Performance Inc.,SWV0004140-00,ER-Other Contractual Services,Professional Services,09/23/2010 12:00:00 AM,09/30/2011 12:00:00 AM,09/23/2010 12:00:00 AM,09/30/2011 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",K9185,Casey  Paula Kay,,SWV0100242-00,CB-Legal and Expert Witness Services,Mediation,04/22/2019 12:00:00 AM,06/22/2019 12:00:00 AM,04/22/2019 12:00:00 AM,06/22/2019 12:00:00 AM,0.0,337.5,0,337.5,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K7225-1,A-1 Performance Inc,A-1 PERFORMANCE,SWV0004140-00,ER-Other Contractual Services,Professional Services,08/06/2018 12:00:00 AM,08/06/2019 12:00:00 AM,08/06/2018 12:00:00 AM,08/06/2019 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",2162,Foster Pepper PLLC,,,CB-Legal and Expert Witness Services,Outside Legal Services,01/01/2018 12:00:00 AM,12/31/2019 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,5416.2,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K7249-4,Cbm South Inc,,SWV0167570-00,ER-Other Contractual Services,Professional Services,11/19/2018 12:00:00 AM,10/31/2019 12:00:00 AM,11/19/2018 12:00:00 AM,10/31/2019 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",10735887 (2),"Orenge, Julius",,,CB-Legal and Expert Witness Services,Outside Legal Services,01/10/2017 12:00:00 AM,12/31/2019 12:00:00 AM,01/10/2017 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,35000.0,0,35000.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2425,"Cowan DeBaets Abrahams & Sheppard, LLP",,,CB-Legal and Expert Witness Services,Outside Legal Services,01/28/2019 12:00:00 AM,01/31/2020 12:00:00 AM,01/28/2019 12:00:00 AM,01/31/2020 12:00:00 AM,0.0,3415.0,0,0.0,,Competitive Solicitation - Exceptions,
Administrative Hearings (OAH),20527,Diyana Sao,"Sao Janitorial Services, LLC",,"14-Janitorial and Cleaning Equipment, Supplies and Services",Janitorial,07/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,07/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,0.0,13198.19,0,13198.19,,Master Contract,Minority Owned Business
Administrative Hearings (OAH),OAH 09-01,Acco Engineered Systems,Acco Engineered Systems,,"EE-Repairs, Alterations, and Maintenance",HVAC,04/06/2009 12:00:00 AM,04/06/2009 12:00:00 AM,04/06/2009 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,885.0,0,885.0,,Master Contract,
"Attorney General, Office of the (ATG)",K7231-6,SAO Janitorial Services Llc,,SWV0033962-00,ER-Other Contractual Services,Professional Services,06/30/2016 12:00:00 AM,06/30/2017 12:00:00 AM,06/30/2016 12:00:00 AM,06/30/2017 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
Administrative Hearings (OAH),OAH-20180604,FourCorners Translation LLC,FourCorners Translation LLC,,ER-Other Contractual Services,Interpreter services,09/01/2018 12:00:00 AM,09/01/2018 12:00:00 AM,09/01/2018 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,96460.93,0,96460.93,,Competitive,
"Attorney General, Office of the (ATG)",10724140 (1),Fikso Kretschmer Smith Dixon Ormseth,,,CB-Legal and Expert Witness Services,Outside Legal Services,09/12/2016 12:00:00 AM,09/09/2020 12:00:00 AM,09/12/2016 12:00:00 AM,09/09/2020 12:00:00 AM,0.0,105000.0,0,105000.0,,Competitive,
"Attorney General, Office of the (ATG)",K6912-0-11-1,Discover-E Legal Llc,Novitas Data LLC,SWV0078956-01,ER-Other Contractual Services,SOW - TOR OLY,02/15/2019 12:00:00 AM,06/30/2019 12:00:00 AM,02/15/2019 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",K8978,Jams Inc,,SWV0088566-00,CB-Legal and Expert Witness Services,Strategic Litigation Consultant,02/15/2019 12:00:00 AM,06/01/2019 12:00:00 AM,02/15/2019 12:00:00 AM,06/01/2019 12:00:00 AM,0.0,18100.0,0,18100.0,,Competitive Solicitation - Exceptions,
Apple Commission (APPLE),WAC1819-04,Midsummer Marketing,,,CG-Marketing Services,,07/01/2018 12:00:00 AM,06/30/2019 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2019 12:00:00 AM,50300.0,30000.0,0,80300.0,,Competitive,
"Attorney General, Office of the (ATG)",2423,Miller Nash Graham & Dunn LLP,,,CB-Legal and Expert Witness Services,Outside Legal Services,12/01/2018 12:00:00 AM,11/30/2020 12:00:00 AM,12/01/2018 12:00:00 AM,11/30/2020 12:00:00 AM,0.0,32268.5,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",10724817 (2),"Stoel Rives, LLP",,,CB-Legal and Expert Witness Services,Outside Legal Services,10/17/2016 12:00:00 AM,07/01/2021 12:00:00 AM,10/17/2016 12:00:00 AM,07/01/2021 12:00:00 AM,0.0,165000.0,0,165000.0,,Competitive,
"Attorney General, Office of the (ATG)",K7231-2,SAO Janitorial Services Llc,,SWV0033962-00,ER-Other Contractual Services,Professional Services,06/01/2012 12:00:00 AM,06/30/2013 12:00:00 AM,06/01/2012 12:00:00 AM,06/30/2013 12:00:00 AM,0.0,0.0,0,0.0,,Competitive,
"Attorney General, Office of the (ATG)",K8217-1,Wakeen & Associates Mediation,,SWV0191621-00,CB-Legal and Expert Witness Services,Mediation,10/12/2018 12:00:00 AM,12/12/2018 12:00:00 AM,10/12/2018 12:00:00 AM,12/12/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8390,Castleberry  Ronald,,SWV0185061-00,CB-Legal and Expert Witness Services,Mediation,08/23/2018 12:00:00 AM,10/23/2018 12:00:00 AM,08/23/2018 12:00:00 AM,10/23/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2356 (1),Smith Goodfriend,,,CB-Legal and Expert Witness Services,Outside Legal Services,08/21/2017 12:00:00 AM,09/30/2019 12:00:00 AM,08/21/2017 12:00:00 AM,09/30/2019 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
Arts Commission (ART),GO2018-053,Washington State Arts Alliance Foundation,,0022891,"CA-Management, Organizational and Major Information Technology Services",,10/10/2018 12:00:00 AM,10/13/2018 12:00:00 AM,10/10/2018 12:00:00 AM,06/30/2019 12:00:00 AM,5000.0,0.0,0,5000.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",2387,Hillis Clark Martin & Peterson,,,CB-Legal and Expert Witness Services,Outside Legal Services,12/15/2017 12:00:00 AM,12/15/2019 12:00:00 AM,12/15/2017 12:00:00 AM,12/15/2019 12:00:00 AM,0.0,30000.0,0,0.0,,Competitive Solicitation - Exceptions,
Arts Commission (ART),POL2019-091,Janet Cole Hamilton,,0186283,"CA-Management, Organizational and Major Information Technology Services",,01/15/2019 12:00:00 AM,02/02/2019 12:00:00 AM,01/15/2019 12:00:00 AM,02/02/2019 12:00:00 AM,379.74,0.0,0,379.74,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",2342,Garvey Schubert & Barer,,,CB-Legal and Expert Witness Services,Outside Legal Services,07/01/2017 12:00:00 AM,09/30/2019 12:00:00 AM,07/01/2017 12:00:00 AM,09/30/2019 12:00:00 AM,0.0,390203.0,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2380,Stokes Lawrence,,,CB-Legal and Expert Witness Services,Outside Legal Services,12/01/2017 12:00:00 AM,11/30/2018 12:00:00 AM,12/01/2017 12:00:00 AM,11/30/2018 12:00:00 AM,0.0,827.75,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8877,Jams Inc,,SWV0088566-00,CB-Legal and Expert Witness Services,Mediation,01/28/2019 12:00:00 AM,03/28/2019 12:00:00 AM,01/28/2019 12:00:00 AM,03/28/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K6912-0-6,Discover-E Legal Llc,Novitas Data LLC,SWV0078956-01,ER-Other Contractual Services,SOW - TOR OLY,11/01/2017 12:00:00 AM,11/01/2018 12:00:00 AM,11/01/2017 12:00:00 AM,11/01/2018 12:00:00 AM,0.0,20000.0,0,20000.0,,Competitive,
"Attorney General, Office of the (ATG)",10793720 (1),Buchanan Ingersoll & Rooney PC,,,CB-Legal and Expert Witness Services,Outside Legal Services,03/09/2018 12:00:00 AM,09/30/2022 12:00:00 AM,03/09/2018 12:00:00 AM,09/30/2022 12:00:00 AM,0.0,25000.0,0,25000.0,,Competitive,
"Attorney General, Office of the (ATG)",K8301,Washington Arbitration &,,SWV0031441-00,CB-Legal and Expert Witness Services,Mediation,07/24/2018 12:00:00 AM,09/30/2018 12:00:00 AM,07/24/2018 12:00:00 AM,09/30/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
African-American Affairs (CAA),2018-0002,L-Soft LLC,,,"8-Computers, Software, Supplies, and Services",Computer services,12/01/2017 12:00:00 AM,12/01/2018 12:00:00 AM,12/01/2017 12:00:00 AM,12/01/2018 12:00:00 AM,0.0,1000.0,0,1000.0,,Master Contract,
"Attorney General, Office of the (ATG)",2353,Fain Anderson VanDerhoef,,,CB-Legal and Expert Witness Services,Outside Legal Services,07/01/2017 12:00:00 AM,06/30/2019 12:00:00 AM,07/01/2017 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,841.5,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K9373,Camtek Inc,,SWV0074111-00,EK-Facilities and Services,Professional Services,06/21/2019 12:00:00 AM,06/28/2019 12:00:00 AM,06/21/2019 12:00:00 AM,06/28/2019 12:00:00 AM,0.0,0.0,0,15828.35,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",K8435,Jams Inc,Thomas McPhee,SWV0088566-00,CB-Legal and Expert Witness Services,Mediation,09/21/2018 12:00:00 AM,11/21/2018 12:00:00 AM,09/21/2018 12:00:00 AM,11/21/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
Arts Commission (ART),OPS 2019-003,Mary Carstensen,,,"1-Administrative, Financial, and Management Services",Creative Forces coordinator,03/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,03/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,10000.0,0.0,0,10000.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",K8830,Alarm Center Inc,,SWV0076325-00,"EE-Repairs, Alterations, and Maintenance",Professional Services,12/13/2018 12:00:00 AM,12/31/2019 12:00:00 AM,12/13/2018 12:00:00 AM,12/31/2019 12:00:00 AM,0.0,27518.33,0,27518.33,,Master Contract,
Arts Commission (ART),2019-02-CD,Chewelah Chamber,Attn: Mike Bentz,TIN #91-1332700,NZ-Other Grants and Benefits,State certified creative district,06/24/2019 12:00:00 AM,06/30/2019 12:00:00 AM,06/24/2019 12:00:00 AM,06/30/2019 12:00:00 AM,0.0,5000.0,0,5000.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",10843120,"Ironmark Law Group, PLLC",,,CB-Legal and Expert Witness Services,Outside Legal Services,06/10/2019 12:00:00 AM,04/30/2022 12:00:00 AM,06/10/2019 12:00:00 AM,04/30/2022 12:00:00 AM,0.0,11000.0,0,11000.0,,Competitive,
