Ano,Semestre,Nome Mantenedora,Código e-MEC da Mantenedora,CNPJ da mantenedora,Nome da IES,Código e-MEC da IES,Organização Acadêmica da IES,UF da IES,Município da IES,Nome do Local de oferta,Código do Local de Oferta,Município do Local de Oferta,UF do Local de Oferta,Nome da Microrregião,Código da Microrregião,Código da Mesorregião,Nome da Mesorregião,Área do conhecimento,Subárea do conhecimento,Código do Grupo de Preferência, Nota de Corte Grupo Preferência ,Código do Curso,Nome do Curso,Turno,Grau,Conceito,Vagas autorizadas e-mec,Vagas ofertadas FIES,Vagas além da Oferta,Vagas ocupadas,Participa do P-FIES,Vagas Ofertadas P-FIES,BANCO NORDESTE BRASIL   (004),ITAU UNIBANCO (PRAVALER)(341),BV FINANCEIRA (PRAVALER)(455),BANCO ANDBANK (PRAVALER)(65),BANCO DA AMAZONIA S.A.  (003), Valor bruto do curso , 1 Semestre Bruto , 2 Semestre Bruto , 3 Semestre Bruto , 4 Semestre Bruto , 5 Semestre Bruto , 6 Semestre Bruto , 7 Semestre Bruto , 8 Semestre Bruto , 9 Semestre Bruto , 10 Semestre Bruto , 11 Semestre Bruto , 12 Semestre Bruto , Valor do curso para FIES , Índice de correção - IPCA , 1 Semestre FIES , 2 Semestre FIES , 3 Semestre FIES , 4 Semestre FIES , 5 Semestre FIES , 6 Semestre FIES , 7 Semestre FIES , 8 Semestre FIES , 9 Semestre FIES , 10 Semestre FIES , 11 Semestre FIES , 12 Semestre FIES 
2019,1,FUNDACAO DOM AGUIRRE,109,71487094000113,UNIVERSIDADE DE SOROCABA,150,Universidade,SP,Sorocaba,CIDADE UNIVERSITÁRIA,1000208,Sorocaba,SP,Sorocaba,35046,3512,Macro Metropolitana Paulista,DIVERSAS ÁREAS,"DANÇA, TEOLOGIA, MÍDIAS SOCIAIS, DESIGN DE INTERIORES E CURSOS RELACIONADOS",45920," 505,28 ",1110713,DANÇA,MATUTINO,Licenciatura,4,70,10,0,0,NAO,0,N,N,N,N,N," 39.654,00 "," 6.609,00 "," 6.609,00 "," 6.609,00 "," 6.609,00 "," 6.609,00 "," 6.609,00 ", -   , -   , -   , -   , -   , -   ," 25.786,80 ", 150% ," 4.297,80 "," 4.297,80 "," 4.297,80 "," 4.297,80 "," 4.297,80 "," 4.297,80 ", -   , -   , -   , -   , -   , -   
2019,1,ADTALEM EDUCACIONAL DO BRASIL S/A,1174,3681572000171,Faculdade Integral Diferencial Wyden,1734,Faculdade ,PI,Teresina,UNIDADE SEDE,658725,Teresina,PI,Teresina,22003,2202,Centro-Norte Piauiense,DIVERSAS ÁREAS,"ADMINISTRAÇÃO, ADMINISTRAÇÃO PÚBLICA, GESTÃO, LOGÍSTICA, NEGÓCIOS E CURSOS RELACIONADOS",43254," 557,02 ",1192239,ADMINISTRAÇÃO,VESPERTINO,Bacharelado,4,20,8,10,0,SIM,2,S,S,S,S,N," 37.756,80 "," 4.719,60 "," 4.719,60 "," 4.719,60 "," 4.719,60 "," 4.719,60 "," 4.719,60 "," 4.719,60 "," 4.719,60 ", -   , -   , -   , -   ," 36.624,08 ", 102% ," 4.578,01 "," 4.578,01 "," 4.578,01 "," 4.578,01 "," 4.578,01 "," 4.578,01 "," 4.578,01 "," 4.578,01 ", -   , -   , -   , -   
2019,1,EDVAC SERVICOS EDUCACIONAIS LTDA,1243,4167858000104,Centro Universitário Eniac,3294,Centro Universitário,SP,Guarulhos,UNIDADE SEDE,659438,Guarulhos,SP,Guarulhos,35059,3515,Metropolitana de São Paulo,DIVERSAS ÁREAS,"ADMINISTRAÇÃO, ADMINISTRAÇÃO PÚBLICA, GESTÃO, LOGÍSTICA, NEGÓCIOS E CURSOS RELACIONADOS",46130," 564,08 ",59325,PROCESSOS GERENCIAIS,NOTURNO,Tecnológico,3,200,48,0,0,SIM,12,N,S,S,S,N," 13.175,52 "," 3.293,88 "," 3.293,88 "," 3.293,88 "," 3.293,88 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12.516,76 ", 300% ," 3.129,19 "," 3.129,19 "," 3.129,19 "," 3.129,19 ", -   , -   , -   , -   , -   , -   , -   , -   
2019,1,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,770,37174034000102,CENTRO UNIVERSITÁRIO EURO-AMERICANO,1113,Centro Universitário,DF,Brasília,CENTRO UNIVERSITÁRIO EURO-AMERICANO - UNIDADE ASA SUL,27693,Brasília,DF,Brasília,53001,5301,Distrito Federal,CURSOS DA AREA DE SAUDE,"ODONTOLOGIA, QUIROPRAXIA, FÍSICA MÉDICA E NATUROLOGIA",47415," 576,56 ",1110563,ODONTOLOGIA,INTEGRAL,Bacharelado,4,100,40,40,13,NAO,0,N,N,N,N,N," 151.246,98 "," 15.085,92 "," 15.417,96 "," 15.417,96 "," 15.417,96 "," 15.417,96 "," 15.410,88 "," 15.410,88 "," 14.555,82 "," 14.555,82 "," 14.555,82 ", -   , -   ," 143.684,63 ", 150% ," 14.331,62 "," 14.647,06 "," 14.647,06 "," 14.647,06 "," 14.647,06 "," 14.640,34 "," 14.640,34 "," 13.828,03 "," 13.828,03 "," 13.828,03 ", -   , -   
2019,1,VERA CLAUDINO EDUCACAO SUPERIOR LIMITADA - ME,2866,7541724000191,FACULDADE SÃO FRANCISCO DA PARAÍBA,4533,Faculdade ,PB,Cajazeiras,Unidade SEDE,707563,Cajazeiras,PB,Cajazeiras,25002,2501,SertÒo Paraibano,DIVERSAS ÁREAS,"ADMINISTRAÇÃO, ADMINISTRAÇÃO PÚBLICA, GESTÃO, LOGÍSTICA, NEGÓCIOS E CURSOS RELACIONADOS",43589," 485,36 ",119785,ADMINISTRAÇÃO,NOTURNO,Bacharelado,3,50,15,15,11,NAO,0,N,N,N,N,N," 28.044,00 "," 3.505,50 "," 3.505,50 "," 3.505,50 "," 3.505,50 "," 3.505,50 "," 3.505,50 "," 3.505,50 "," 3.505,50 ", -   , -   , -   , -   ," 25.239,60 ", 200% ," 3.154,95 "," 3.154,95 "," 3.154,95 "," 3.154,95 "," 3.154,95 "," 3.154,95 "," 3.154,95 "," 3.154,95 ", -   , -   , -   , -   
2019,1,UNIRB - UNIDADES DE ENSINO SUPERIOR DA BAHIA LTDA,1367,4043610000123,Centro Universitário Regional do Brasil,2076,Centro Universitário,BA,Salvador,UNIRB,1057393,Salvador,BA,Salvador,29021,2905,Metropolitana de Salvador,CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO,"ENGENHARIA MECÂNICA, AERONÁUTICA, NAVAL E CURSOS RELACIONADOS",44270," 510,90 ",1191552,CONSTRUÇÃO NAVAL,MATUTINO,Tecnológico,3,100,30,67,0,SIM,3,S,N,N,N,N," 34.650,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 ", -   , -   , -   , -   , -   ," 34.650,00 ", 800% ," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 "," 4.950,00 ", -   , -   , -   , -   , -   
2019,1,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,16452,4310392000146,FACULDADE ANHANGUERA DE BRASÍLIA,1173,Faculdade ,DF,Brasília,FACULDADE ANHANGUERA DE BRASÍLIA,659044,Brasília,DF,Brasília,53001,5301,Distrito Federal,CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO,"ENGENHARIA ELÉTRICA, ELETRÔNICA, DA COMPUTAÇÃO E CURSOS RELACIONADOS",47435," 491,56 ",1330490,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,MATUTINO,Bacharelado,4,75,30,45,0,NAO,0,N,N,N,N,N," 65.632,00 "," 5.760,00 "," 5.345,00 "," 6.600,00 "," 3.185,00 "," 7.457,00 "," 7.457,00 "," 7.457,00 "," 7.457,00 "," 7.457,00 "," 7.457,00 ", -   , -   ," 57.053,00 ", 125% ," 4.320,00 "," 4.009,00 "," 4.950,00 "," 2.389,00 "," 5.592,00 "," 5.965,00 "," 7.457,00 "," 7.457,00 "," 7.457,00 "," 7.457,00 ", -   , -   
2019,1,ASSUPERO ENSINO SUPERIOR LTDA.,2415,6099229000101,UNIVERSIDADE PAULISTA,322,Universidade,SP,São Paulo,SÃO JOSÉ DOS CAMPOS,372,São José dos Campos,SP,São José dos Campos,35050,3513,Vale do Paraíba Paulista,DIVERSAS ÁREAS,"COMUNICAÇÃO, DESIGN, AUDIO VISUAL E CURSOS RELACIONADOS",45991," 503,98 ",67331,DESIGN GRÁFICO,NOTURNO,Tecnológico,3,115,34,47,1,SIM,34,N,S,N,S,N," 14.470,90 "," 3.860,58 "," 2.889,18 "," 3.508,26 "," 4.212,88 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12.251,68 ", 250% ," 2.702,40 "," 2.600,26 "," 3.157,43 "," 3.791,59 ", -   , -   , -   , -   , -   , -   , -   , -   
2019,1,ASSUPERO ENSINO SUPERIOR LTDA.,2415,6099229000101,UNIVERSIDADE PAULISTA,322,Universidade,SP,São Paulo,CAMPUS V -  CHÁCARA SANTO ANTÔNIO,2641,São Paulo,SP,São Paulo,35061,3515,Metropolitana de São Paulo,"CURSOS DA ÁREA DE LICENCIATURA, PEDAGOGIA E NORMAL SUPERIOR","LETRAS - IDIOMAS, FÍSICA (LIC), QUÍMICA (LIC) E CURSOS RELACIONADOS",46082," 551,24 ",65882,LETRAS - INGLÊS,MATUTINO,Licenciatura,4,115,46,23,0,SIM,46,N,S,N,S,N," 28.773,47 "," 2.797,56 "," 3.609,77 "," 3.609,77 "," 3.730,09 "," 3.730,09 "," 3.729,87 "," 3.729,87 "," 3.836,45 ", -   , -   , -   , -   ," 25.336,60 ", 250% ," 1.958,28 "," 3.248,79 "," 3.248,79 "," 3.357,08 "," 3.357,08 "," 3.356,89 "," 3.356,89 "," 3.452,80 ", -   , -   , -   , -   
2019,1,CENTRO BRASILEIRO DE PROFISSIONALIZACAO EMPRESARIAL LTDA,2994,6302344000131,FACULDADE NOVA ROMA,4700,Faculdade ,PE,Recife,CAMPUS  - RECIFE - PRADO,659904,Recife,PE,Recife,26017,2605,Metropolitana de Recife,DIVERSAS ÁREAS,"ADMINISTRAÇÃO, ADMINISTRAÇÃO PÚBLICA, GESTÃO, LOGÍSTICA, NEGÓCIOS E CURSOS RELACIONADOS",43890," 538,86 ",1353953,PROCESSOS GERENCIAIS,NOTURNO,Tecnológico,Autorizado,100,25,25,0,SIM,10,S,N,N,N,N," 13.222,44 "," 3.148,20 "," 3.148,20 "," 3.463,02 "," 3.463,02 ", -   , -   , -   , -   , -   , -   , -   , -   ," 11.900,20 ", 100% ," 2.833,38 "," 2.833,38 "," 3.116,72 "," 3.116,72 ", -   , -   , -   , -   , -   , -   , -   , -   
2019,1,ASSOBES ENSINO SUPERIOR LTDA.,519,1711282000106,CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN,1446,Centro Universitário,DF,Brasília,CAMPUS DE ÁGUAS CLARAS,26032,Brasília,DF,Brasília,53001,5301,Distrito Federal,CURSOS DA AREA DE SAUDE,"ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS",47417," 596,68 ",121425,FISIOTERAPIA,NOTURNO,Bacharelado,3,360,108,144,0,SIM,108,N,S,N,S,N," 62.299,95 "," 6.256,69 "," 6.728,82 "," 6.728,82 "," 6.953,11 "," 6.953,11 "," 9.469,61 "," 9.469,61 "," 9.740,18 ", -   , -   , -   , -   ," 55.423,76 ", 250% ," 4.692,52 "," 6.055,94 "," 6.055,94 "," 6.257,80 "," 6.257,80 "," 8.522,69 "," 8.522,69 "," 9.058,38 ", -   , -   , -   , -   
2019,1,FACS SERVICOS EDUCACIONAIS LTDA,268,13526884000164,UNIVERSIDADE SALVADOR,385,Universidade,BA,Salvador,CAMPUS PROFESSOR BARROS,6999,Salvador,BA,Salvador,29021,2905,Metropolitana de Salvador,CURSOS DA AREA DE SAUDE,"ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS",44256," 583,54 ",116171,NUTRIÇÃO,VESPERTINO,Bacharelado,4,50,18,0,0,SIM,2,S,S,S,S,N," 76.002,96 "," 9.500,37 "," 9.500,37 "," 9.500,37 "," 9.500,37 "," 9.500,37 "," 9.500,37 "," 9.500,37 "," 9.500,37 ", -   , -   , -   , -   ," 73.722,72 ", 195% ," 9.215,34 "," 9.215,34 "," 9.215,34 "," 9.215,34 "," 9.215,34 "," 9.215,34 "," 9.215,34 "," 9.215,34 ", -   , -   , -   , -   
2019,1,INSTITUTO MAUA DE PESQUISA E EDUCACAO - ME,2438,5969033000168,FACULDADE MAUÁ DE BRASÍLIA,3867,Faculdade ,DF,Brasília,SEDE - VICENTE PIRES,1058553,Brasília,DF,Brasília,53001,5301,Distrito Federal,CURSOS DA AREA DE SAUDE,"ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS",47418," 593,80 ",1321600,NUTRIÇÃO,MATUTINO,Bacharelado,4,90,30,10,0,NAO,0,N,N,N,N,N," 69.386,56 "," 7.872,00 "," 7.872,00 "," 8.383,68 "," 8.383,68 "," 8.928,62 "," 8.928,62 "," 9.508,98 "," 9.508,98 ", -   , -   , -   , -   ," 55.509,24 ", 100% ," 6.297,60 "," 6.297,60 "," 6.706,94 "," 6.706,94 "," 7.142,90 "," 7.142,90 "," 7.607,18 "," 7.607,18 ", -   , -   , -   , -   
2019,1,"UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA",715,67172676000133,FACULDADES INTEGRADAS DO VALE DO RIBEIRA,1554,Faculdade ,SP,Registro,Unidade SEDE,658575,Registro,SP,Registro,35055,3514,Litoral Sul Paulista,CURSOS DA AREA DE SAUDE,"SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS",46026," 546,86 ",1364887,FONOAUDIOLOGIA,NOTURNO,Bacharelado,Autorizado,60,15,23,0,SIM,22,N,S,N,N,N," 47.328,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 ", -   , -   , -   , -   ," 47.328,00 ", 100% ," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 "," 5.916,00 ", -   , -   , -   , -   
2019,1,SOCIEDADE EDUCACIONAL ARNALDO HORACIO FERREIRA S/C LTDA,2477,6163776000109,FACULDADE ARNALDO HORÁCIO FERREIRA,3921,Faculdade ,BA,Luís Eduardo Magalhães,CAMPUS  - LUÍS EDUARDO MAGALHÃES - MIMOSO DO OESTE,659664,Luís Eduardo Magalhães,BA,Barreiras,29001,2901,Extremo Oeste Baiano,DIVERSAS ÁREAS,"AGRONOMIA, ZOOTECNIA, ENGENHARIA FLORESTAL E CURSOS RELACIONADOS",44118," 560,84 ",91095,AGRONOMIA,NOTURNO,Bacharelado,4,200,80,0,3,SIM,80,N,N,N,N,N," 65.640,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 "," 6.564,00 ", -   , -   ," 59.100,00 ", 2% ," 5.910,00 "," 5.910,00 "," 5.910,00 "," 5.910,00 "," 5.910,00 "," 5.910,00 "," 5.910,00 "," 5.910,00 "," 5.910,00 "," 5.910,00 ", -   , -   
