inspection_date,inspector,district,subdistrict,subsector,permit_number,dba,permit_type,street_address,street_address_clean,inspection_type,inspection_frequency_type,total_time,facility_rating_status,census,suspension_notes,inspection_notes,violation_count,violation_codes,latitude,longitude,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
2025/05/07 12:00:00 AM,Jessica Jang,3,307,176B,81508,MO'Z CAFE INC,"H25 - RESTAURANT 1,000 - 2,000 SQFT",36 5TH ST,36 5TH ST,Routine,2.0,165.0,Closure,176B,,,13.0,"113947.1-113947.6, 113948 - Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site., 114259, 114259.1, 114259.4, 114259.5 - Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects., 114067(h), 114123, 114143(a, b), 114256-114256.2, 114256.4, 114257-114257.1, 114259, 114259.2-114259.3, 114279, 114281, 114282 - Keep clean and free of litter or rubbish the premises of each food facility; non-food items shall be stored and displayed separate from food and food-contact surfaces; the facility shall be kept vermin proof; open-air barbecues shall be operated in an approved manner., 114135, 114185.1 114185.3 [d-e] - Store wiping cloths used to wipe service counters, scales, or other surfaces that may come into contact with food in clean water with sanitizer or use only once; separate sanitizing containers shall be provided for wiping cloths used with raw animal foods., 114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 114171, 114189.1, 114190, 114192, 114193, 114193.1, 114199, 114201, 114269 - Protect the potable water supply with a backflow protection device, as required by applicable plumbing codes. All plumbing, plumbing fixtures, and grease interceptors shall be installed in compliance with local plumbing ordinances, shall be maintained so as to prevent any contamination, and shall be kept clean, fully operative, and in good repair. Any hose used for conveying potable water shall be of approved materials, labeled, properly stored, and used for no other purpose., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 113967, 113976, 113980, 113988, 113990, 114035, 114254.3, 113975 - Discard all contaminated/adulterated food immediately if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health., 114254-114254.2 - Administer all pesticides through a state licensed pest control operator. Immediately discontinue the use of unapproved pesticide at the food facility. Store all poisonous substances, detergents, bleaches, and cleaning compounds away from food, utensils, packaging materials, and food-contact surfaces. Provide label to working containers of chemicals taken from bulk supplies with the common name of the material. Provide legible manufacturer's label to containers of poisonous or toxic materials and personal care items.,  - IMMEDIATE HEALTH PERMIT SUSPENSION AND CLOSURE The permit to operate the above named food facility is hereby temporarily suspended, and the facility is ordered immediately closed under the authority of Sections 114405 and 114409 of Division 104, Part 7, Chapter 13, Article 3 of the California Health and Safety Code and/or City and County of San Francisco Health Code §§ 440 (j) and 440.1. The attached Inspection Report specifies the conditions that warrant this closure and the Sections of the law that are being violated. Any food facility for which the permit has been temporarily suspended shall cease all food handling, close and remain closed until all conditions warranting the closure are corrected and your permit has been reinstated by a representative of Environmental Health.   You are hereby notified that you have the right to request a hearing, within 15 calendar days after service of this Notice to show cause why the permit suspension is not warranted. Your failure to request a hearing within 15 calendar days shall be deemed a waiver of your right to a hearing.   An owner, manager or operator who fails to comply with this Closure Notice may be found guilty of a misdemeanor, with a possible fine of $1,000.00 and/or imprisonment for not more than six months for each offense. This Health Permit Suspension and Closure Notice is issued to you under the authority of the California Health and Safety Code, Division 104, Part 7, Chapter 13, Article 3. Copies of the Code Sections referred to herein may be reviewed at most public libraries, the Internet, or at Environmental Health. Contact this office at the number noted above, during normal days of business to request a re-inspection, or if you have any questions. If you are calling after 4:30 pm or on weekends, leave a message at (415) 252-3800 and an inspector/on call staff will call you back at their earliest convenience.   The CLOSED placard was issued and posted this date. The Closure placard shall not be removed, moved, blocked, or obstructed in any manner. The Closure placard shall only be removed by an inspector from this Department., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",37.783386000001,-122.407528500002,POINT (-122.4075285 37.783386),South of Market,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/07/11 12:00:00 AM,Tiombe Wiley,3,305,201,06734081,LOS YAQUIS,"H24 - RESTAURANT UNDER 1,000 SQFT",324 S VAN NESS AVE,324 S VAN NESS AVE,New Ownership (R),2.0,45.0,Pass,201,,,,,37.767906000001,-122.418058500002,POINT (-122.4180585 37.767906),Mission,9.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/12 12:00:00 AM,Alyssa  Manzano,No District,No Sub District,No Sub Sector,06743691,BINGO STREET COFFEE,"H24 - RESTAURANT UNDER 1,000 SQFT",225 BUSH STREET,225 BUSH STREET,New Ownership (R),2.0,60.0,Pass,117A,,,,,37.790946000001,-122.401350000002,POINT (-122.40135 37.790946),Financial District/South Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/05 12:00:00 AM,Michael Mooney,2,201,101,87044,SABELLA AND LA TORRE SEAFOODS,"H25 - RESTAURANT 1,000 - 2,000 SQFT",2809 TAYLOR ST,2809 TAYLOR ST,Routine,2.0,60.0,Conditional Pass,101,,,8.0,"114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 114002, 114002.1 - Rapidly cool potentially hazardous foods from 135°F to 70°F within 2 hours, then from 70°F to 41°F within 4 hours. Discontinue cooling PHF's at room temperature.  Rapid cool by any of the following approved methods: 1) Ice water bath 2) Ice wand 3) Shallow stainless steel pans filled 2-3 inches and store in refrigerator 4) Separate into smaller or thinner portions and store in refrigerator 5) Blast chiller 6) Any combination of the above. Use the following approved methods provided on the rapid cooling guideline., 113953(c), 114163(a)(3), 114189, 114192.1, 114195, 114279 - Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility.,  - Submit additional documents as instructed., 114039-114039.5 - Maintain shell fish tags with the stock until the container is empty. Retain all shell fish tags for at least 90 days in chronological order. Discontinue commingling (blending together) shell stock from different harvest dates and locations to prevent cross contamination.",37.808424000001,-122.415984000002,POINT (-122.415984 37.808424),North Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/06 12:00:00 AM,Sharon Aguila-Leonard,5,503,302,101717,THE GAME PARLOUR,"H26 - RESTAURANT OVER 2,000 SQFT",1342 IRVING ST,1342 IRVING ST,Reinspection,1.0,30.0,Pass,302,,,,,37.764000000001,-122.472450000002,POINT (-122.47245 37.764),Inner Sunset,7.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/06 12:00:00 AM,Farhan Khan,No District,No Sub District,No Sub Sector,A101983,GUCKENHEIMER AT GOOGLE - 215 FREMONT STREET (FLOORS 2 AND 3),H85 - EMPLOYEE CAFETERIA LIMITED FOOD PREP,"215 FREMONT ST 2,3,4,6","215 FREMONT ST 2,3,4,6",Routine,1.0,15.0,Pass,179,,,,,37.789175998321,-122.394355965031,POINT (-122.394355965 37.789175998),Financial District/South Beach,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/07/11 12:00:00 AM,Zack Parsons,1,101,610,06734223,Bayview YMCA/ KIPP Bayview Academy,Summer Meals,1060 Key Ave,1060 KEY AVE,Site Visit,,15.0,Pass,610,,,,,37.719360000001,-122.395972500002,POINT (-122.3959725 37.71936),Bayview Hunters Point,10.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/04/01 12:00:00 AM,John  Wells,2,210,111,305,SWAN OYSTER DEPOT,"H24 - RESTAURANT UNDER 1,000 SQFT",1517 POLK ST,1517 POLK ST,Routine,1.0,75.0,Pass,111,,,9.0,"113980, 113984 (a, b, d, e, f), 113986, 114060, 114067 (a, d, e), 114069, 114073, 114077, 114089.1(c), 114143(c) - Ensure all food is separated and protected from potential cross contamination. Store produce and ready-to-eat foods completely separate or above raw foods including but not limited to raw eggs, fish, meat, ratites, game animals, and poultry. Provide adequate sneeze-guard protection, a container that has a tight fitting and securely attached lid, or dispense food from an approved mechanical dispenser., 114074, 114081, 114119, 114121, 114161, 114178, 114179, 114083, 114185, 114185.2, 114185.3, 114185.4, 114185.5 - All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination., 114259, 114259.1, 114259.4, 114259.5 - Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects., 114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 114000 - Label all potentially hazardous foods for use with Time as a Public Health Control implementation with the date and discard time. The discard time shall be 4 hours after food preparation has begun or after removing from proper temperature controls of 41°F or 135°F. Discard potentially hazardous foods, under Time as a Public Health Control, when 4 hours have elapsed. Obtain written approval for Time as Public Health Control from San Francisco Environmental Health., 114135, 114185.1 114185.3 [d-e] - Store wiping cloths used to wipe service counters, scales, or other surfaces that may come into contact with food in clean water with sanitizer or use only once; separate sanitizing containers shall be provided for wiping cloths used with raw animal foods., 113947.1-113947.6, 113948 - Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.",37.790775000001,-122.420884500002,POINT (-122.4208845 37.790775),Nob Hill,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/08 12:00:00 AM,Michael Mooney,2,201,106,116653,BIG ABE GIFT SHOP INC,H03 - RETAIL MKTS W/O PREP (UNDER 5001),556 BROADWAY,556 BROADWAY,Site Visit,1.0,15.0,Pass,106,,,,,37.798191000001,-122.406579000002,POINT (-122.406579 37.798191),North Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/10/24 12:00:00 AM,Joanna Huber,No District,No Sub District,No Sub Sector,06733326,Bar Sprezzatura Lobby Lvl,"H24 - RESTAURANT UNDER 1,000 SQFT",300 CLAY ST # 100,300 CLAY ST,New Ownership (R),2.0,30.0,Pass,116,,,,,37.795608000001,-122.399239500002,POINT (-122.3992395 37.795608),Financial District/South Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/14 12:00:00 AM,Zack Parsons,5,502,452,06733281,CUPRUM BAKERY LLC,H99 - COTTAGE FOOD OPERATIONS - TIER B (INDIRECT SALES),539 9TH AVE,539 9TH AVE,New Ownership (I),1.0,50.0,Pass,CFO-B,,,,,37.778184000001,-122.467639500002,POINT (-122.4676395 37.778184),Inner Richmond,1.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/04/18 12:00:00 AM,Aron Wong,1,103,607,06733737,PORTABLE 7 LUMPIA CART- 117,H36 - STADIUM CONCESSIONS (PERM),24 WILLIE MAYS PLZ # PROMEN,3RD ST & KING ST,Routine,1.0,15.0,Pass,STADIUM,,,,,37.778130000001,-122.391855000002,POINT (-122.391855 37.77813),Mission Bay,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/16 12:00:00 AM,John  Wells,2,208,125A,29316,IMPERIAL SQUARE LIQUOR,H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001),251 ELLIS ST,251 ELLIS ST,Routine,1.0,45.0,Pass,125A,,,7.0,"113953(c), 114163(a)(3), 114189, 114192.1, 114195, 114279 - Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility., 114074, 114081, 114119, 114121, 114161, 114178, 114179, 114083, 114185, 114185.2, 114185.3, 114185.4, 114185.5 - All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature.,  - Food, equipment, or utensils that are found to be unsanitary or in disrepair may be Voluntarily Condemned and Destroyed by the person in charge., 113947.1-113947.6, 113948 - Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site., 114123, 114197, 114328(o) - Eliminate sewage backflow into the facility. Clean and sanitize all areas contaminated with sewage with a bleach solution (1 cup bleach per 9 cups water).Hire a licensed plumbing contractor if necessary. All contaminated food items must be discarded. All items that cannot be properly sanitized must be discarded., 114047, 114049, 114051, 114053, 114055, 114069(b) - Elevate all food at least 6 inches off of the floor to prevent contamination. Properly label bulk ingredient/food containers with common name.",37.784889000001,-122.410273500002,POINT (-122.4102735 37.784889),Tenderloin,5.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/14 12:00:00 AM,Roy Bwogi,1,105,260,51146,DON CHUYS MEXI-MERCADO,H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001),544 EXCELSIOR AVE,544 EXCELSIOR AVE,Routine,2.0,70.0,Pass,260,,,3.0,"114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 1114149-114149.3, 114252, 114252.1 - Provide exhaust hoods to remove toxic gases, heat, grease, vapors, and smoke and be approved by the local building department. Canopy-type hoods shall extend 6"" beyond all cooking equipment. Toilet rooms shall be vented to the outside air by a screened openable window, an air shaft, or a light-switch activated exhaust fan, consistent with local building codes. Adequate lighting shall be provided in all areas to facilitate cleaning and inspection. Light fixtures in areas where open food is stored, served, prepared, and where utensils are washed shall be of shatterproof construction or protected with light shields., 114254-114254.2 - Administer all pesticides through a state licensed pest control operator. Immediately discontinue the use of unapproved pesticide at the food facility. Store all poisonous substances, detergents, bleaches, and cleaning compounds away from food, utensils, packaging materials, and food-contact surfaces. Provide label to working containers of chemicals taken from bulk supplies with the common name of the material. Provide legible manufacturer's label to containers of poisonous or toxic materials and personal care items.",37.723842000001,-122.429146500002,POINT (-122.4291465 37.723842),Excelsior,11.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/12/11 12:00:00 AM,Genesis  Del Rio,5,505,328,T-88971,Cheaper Cigarettes,H31 - TOBACCO SALES - ANNUAL LICENSE FEE,1709 NORIEGA ST,1709 NORIEGA ST,Routine,1.0,90.0,,328,,,7.0,"San Francisco Health Code Article 19R.2  - SALE OR DISTRIBUTION OF ELECTRONIC CIGARETTES LACKING FOOD AND DRUG ADMINISTRATION PREMARKET ORDER OF APPROVAL PROHIBITED., San Francisco Health Code Article 19Q.3 - SALE OR DISTRIBUTION OF FLAVORED TOBACCO PRODUCTS PROHIBITED., San Francisco Health Code Article 19S.2 (b)  - PROHIBITION ON SALE OR DISTRIBUTION OF TOBACCO PRODUCTS., San Francisco Health Code Article 19Q.4  - SALE OR DISTRIBUTION OF FLAVORED CIGARETTES PROHIBITED., San Francisco Health Code Article 19S.2(a) - PROHIBITION ON SALE OR DISTRIBUTION OF TOBACCO PRODUCTS., San Francisco Health Code Article 19H.14-2 - CONDUCT VIOLATING HEALTH CODE ARTICLE 19Q (PROHIBITING THE SALE OF FLAVORED TOBACCO PRODUCTS)., San Francisco Health Code Article 19Q.2 - DEFINITIONS.",37.753776000001,-122.482120500002,POINT (-122.4821205 37.753776),Sunset/Parkside,4.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/01/22 12:00:00 AM,William Bajjalieh,5,512,326,117837,YUANBAO JIAOZI,"H24 - RESTAURANT UNDER 1,000 SQFT",2110 IRVING ST,2110 IRVING ST,Foodborne Illness,2.0,30.0,Pass,326,,,,,37.763577000001,-122.480689500002,POINT (-122.4806895 37.763577),Sunset/Parkside,4.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
