business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
64660,Haight Street Market,1530 Haight St,San Francisco,CA,92672,37.769957,-122.447533,POINT (-122.447533 37.769957),14155250643.0,64660_20170222,02/22/2017 12:00:00 AM,87.0,Routine - Unscheduled,64660_20170222_103142,Unclean nonfood contact surfaces,Low Risk,25.0,25.0,7.0,11.0,3.0
1870,Cafe Tiramisu,28 Belden Pl,San Francisco,CA,94104,37.791198,-122.403737,POINT (-122.403737 37.791198),,1870_20170913,09/13/2017 12:00:00 AM,74.0,Routine - Unscheduled,1870_20170913_103139,Improper food storage,Low Risk,108.0,108.0,6.0,3.0,8.0
1304,RAIN TREE CAFE,654 IRVING St,San Francisco,CA,94122,37.764128,-122.464961,POINT (-122.464961 37.764128),,1304_20180131,01/31/2018 12:00:00 AM,79.0,Routine - Unscheduled,1304_20180131_103157,Food safety certificate or food handler card not available,Low Risk,109.0,109.0,10.0,11.0,14.0
4502,LA LOMA PRODUCE #7,2695 San Bruno Ave,San Francisco,CA,94134,37.727739,-122.403579,POINT (-122.403579 37.727739),,4502_20190313,03/13/2019 12:00:00 AM,,Complaint,4502_20190313_103105,Improper cooling methods,High Risk,91.0,91.0,2.0,2.0,25.0
1426,SWEET DELIGHT BAKERY,4476A MISSION,San Francisco,CA,94112,37.726117,-122.433817,POINT (-122.433817 37.726117),14155336786.0,1426_20161026,10/26/2016 12:00:00 AM,70.0,Routine - Unscheduled,1426_20161026_103121,Inadequate procedures or records for time as a public health control,Moderate Risk,94.0,94.0,9.0,1.0,28.0
3072,"HOTEL UTAH SALOON, THE",500 04th St,San Francisco,CA,94107,37.779522,-122.398104,POINT (-122.398104 37.779522),,3072_20190701,07/01/2019 12:00:00 AM,84.0,Routine - Unscheduled,3072_20190701_103161,Low risk vermin infestation,Low Risk,32.0,32.0,1.0,10.0,34.0
2601,Last Drop Tavern,550 3 St,San Francisco,CA,94108,37.789883,-122.408666,POINT (-122.408666 37.789883),,2601_20190731,07/31/2019 12:00:00 AM,81.0,Routine - Unscheduled,2601_20190731_103139,Improper food storage,Low Risk,19.0,19.0,6.0,3.0,8.0
7645,LUCKY PORK MARKET,2659 MISSION St,San Francisco,CA,94110,37.754513,-122.418626,POINT (-122.418626 37.754513),14155644805.0,7645_20161230,12/30/2016 12:00:00 AM,90.0,Routine - Unscheduled,7645_20161230_103139,Improper food storage,Low Risk,53.0,53.0,3.0,2.0,20.0
13671,AFC SUSHI @SAFEWAY 2606,298 KING STREET,San Francisco,CA,94107,37.776491,-122.394175,POINT (-122.394175 37.776491),,13671_20181204,12/04/2018 12:00:00 AM,89.0,Routine - Unscheduled,13671_20181204_103133,Foods not protected from contamination,Moderate Risk,34.0,34.0,1.0,10.0,4.0
37482,Bursa,60 West Portal Ave.,San Francisco,CA,94127,37.740144,-122.466569,POINT (-122.466569 37.740144),14155564006.0,37482_20180222,02/22/2018 12:00:00 AM,92.0,Routine - Unscheduled,37482_20180222_103120,Moderate risk food holding temperature,Moderate Risk,46.0,46.0,10.0,8.0,41.0
95505,George and Lennie,277 Golden Gate Ave,San Francisco,CA,94102,,,,,95505_20180529,05/29/2018 12:00:00 AM,,New Ownership,95505_20180529_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,
58675,Canon Kip Community House Senior Center,705 Natoma St,San Francisco,CA,,37.776537,-122.412188,POINT (-122.412188 37.776537),14155483747.0,58675_20171128,11/28/2017 12:00:00 AM,87.0,Routine - Unscheduled,58675_20171128_103102,Unclean hands or improper use of gloves,High Risk,32.0,32.0,1.0,10.0,34.0
73,Santino's Vino,2101 Fillmore St,San Francisco,CA,94115,37.788932,-122.433895,POINT (-122.433895 37.788932),,73_20171129,11/29/2017 12:00:00 AM,88.0,Routine - Unscheduled,73_20171129_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,102.0,102.0,4.0,6.0,30.0
69290,Kettle Corn Star,865 Market St,San Francisco,CA,94103,,,,,69290_20190326,03/26/2019 12:00:00 AM,,Structural Inspection,,,,,,,,
77850,Blue Fin Sushi & Lounge,1814 Clement St,San Francisco,CA,94121,,,,,77850_20171218,12/18/2017 12:00:00 AM,,Reinspection/Followup,77850_20171218_103109,Unclean or unsanitary food contact surfaces,High Risk,,,,,
2454,San Jalisco,901 South Van Ness Ave,San Francisco,CA,94110,37.758634,-122.416866,POINT (-122.416866 37.758634),14155648383.0,2454_20180124,01/24/2018 12:00:00 AM,90.0,Routine - Unscheduled,2454_20180124_103154,Unclean or degraded floors walls or ceilings,Low Risk,53.0,53.0,3.0,2.0,20.0
59331,The Lunch Box,50 Phelan Ave.,San Francisco,CA,94112,37.723638,-122.452273,POINT (-122.452273 37.723638),14155323220.0,59331_20190130,01/30/2019 12:00:00 AM,85.0,Routine - Unscheduled,59331_20190130_103109,Unclean or unsanitary food contact surfaces,High Risk,95.0,95.0,9.0,8.0,41.0
1249,KABABAYAN FAST FOOD,2706 MISSION St,San Francisco,CA,94110,37.753691,-122.418657,POINT (-122.418657 37.753691),14155929635.0,1249_20190708,07/08/2019 12:00:00 AM,75.0,Routine - Unscheduled,1249_20190708_103133,Foods not protected from contamination,Moderate Risk,53.0,53.0,3.0,2.0,20.0
5789,STEVENSON ELEMENTARY SCHOOL,2051 34th Ave,San Francisco,CA,94116,37.748853,-122.492255,POINT (-122.492255 37.748853),,5789_20180322,03/22/2018 12:00:00 AM,100.0,Routine - Unscheduled,,,,39.0,39.0,10.0,7.0,35.0
85925,New Heng Fung Inc,2444 Noriega St,San Francisco,CA,94122,,,,14155740221.0,85925_20180925,09/25/2018 12:00:00 AM,,Complaint,85925_20180925_103139,Improper food storage,Low Risk,,,,,
510,Donut Time,2401 Noriega St,San Francisco,CA,94122,37.753633,-122.48954,POINT (-122.48954 37.753633),,510_20161109,11/09/2016 12:00:00 AM,87.0,Routine - Unscheduled,510_20161109_103154,Unclean or degraded floors walls or ceilings,Low Risk,39.0,39.0,10.0,7.0,35.0
10332,Harvest Urban Market,191 08th St,San Francisco,CA,94103,37.776384,-122.411684,POINT (-122.411684 37.776384),14155620805.0,10332_20190716,07/16/2019 12:00:00 AM,82.0,Routine - Unscheduled,10332_20190716_103114,High risk vermin infestation,High Risk,32.0,32.0,1.0,10.0,34.0
32872,Matador,679 Sutter St,San Francisco,CA,94102,37.788823,-122.411507,POINT (-122.411507 37.788823),,32872_20170209,02/09/2017 12:00:00 AM,80.0,Routine - Unscheduled,32872_20170209_103133,Foods not protected from contamination,Moderate Risk,50.0,50.0,6.0,3.0,21.0
39295,Warfield Theatre/F & B Associates,982 Market St,San Francisco,CA,94102,37.782583,-122.409919,POINT (-122.409919 37.782583),,39295_20180207,02/07/2018 12:00:00 AM,94.0,Routine - Unscheduled,39295_20180207_103145,Improper storage of equipment utensils or linens,Low Risk,20.0,20.0,5.0,10.0,34.0
3190,NORIEGA TERIYAKI HOUSE,1755 NORIEGA St,San Francisco,CA,94122,37.753953,-122.482629,POINT (-122.482629 37.753953),,3190_20190110,01/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,3190_20190110_103154,Unclean or degraded floors walls or ceilings,Low Risk,39.0,39.0,10.0,7.0,35.0
32671,La Taqueria Guadalajara,3146 24th St,San Francisco,CA,94110,37.752512,-122.415109,POINT (-122.415109 37.752512),14155644892.0,32671_20170110,01/10/2017 12:00:00 AM,70.0,Routine - Unscheduled,32671_20170110_103145,Improper storage of equipment utensils or linens,Low Risk,53.0,53.0,3.0,2.0,20.0
3151,New Asia Restaurant,772 Pacific Ave,San Francisco,CA,94133,37.796808,-122.407964,POINT (-122.407964 37.796808),,3151_20171130,11/30/2017 12:00:00 AM,76.0,Routine - Unscheduled,3151_20171130_103142,Unclean nonfood contact surfaces,Low Risk,104.0,104.0,6.0,3.0,6.0
2849,Kells,530 Jackson St,San Francisco,CA,94133,37.796378,-122.404024,POINT (-122.404024 37.796378),,2849_20190506,05/06/2019 12:00:00 AM,,Reinspection/Followup,,,,106.0,106.0,6.0,3.0,6.0
3495,Ryoko's,619 Taylor St,San Francisco,CA,94102,37.788134,-122.411817,POINT (-122.411817 37.788134),,3495_20190626,06/26/2019 12:00:00 AM,90.0,Routine - Unscheduled,3495_20190626_103162,Other low risk violation,Low Risk,50.0,50.0,6.0,3.0,21.0
74453,Tacos Club,2312 Market St,San Francisco,CA,94114,,,,,74453_20180606,06/06/2018 12:00:00 AM,83.0,Routine - Unscheduled,74453_20180606_103103,High risk food holding temperature,High Risk,,,,,
90919,Gorkha Kitchen,1386 09th Ave,San Francisco,CA,94122,,,,14150488614.0,90919_20190123,01/23/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
32698,Hunan Cafe #2,4450 CABRILLO St,San Francisco,CA,94121,37.773438,-122.506651,POINT (-122.506651 37.773438),,32698_20180419,04/19/2018 12:00:00 AM,84.0,Routine - Unscheduled,32698_20180419_103139,Improper food storage,Low Risk,8.0,8.0,8.0,4.0,29.0
95231,95231 Doggie Diner Cart,24 Willie Mays Pl View Lvl Sect 307,San Francisco,CA,94107,,,,,95231_20180316,03/16/2018 12:00:00 AM,,New Ownership,,,,,,,,
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,POINT (-122.406892 37.784848),,59577_20190206,02/06/2019 12:00:00 AM,73.0,Routine - Unscheduled,59577_20190206_103105,Improper cooling methods,High Risk,32.0,32.0,5.0,10.0,34.0
1777,Pete's Deli & Cafe,1661 Divisadero St,San Francisco,CA,94115,37.785124,-122.439874,POINT (-122.439874 37.785124),,1777_20190319,03/19/2019 12:00:00 AM,81.0,Routine - Unscheduled,1777_20190319_103161,Low risk vermin infestation,Low Risk,103.0,103.0,4.0,11.0,15.0
63971,Munchboxx,643 Clay St,San Francisco,CA,94111,37.794554,-122.403827,POINT (-122.403827 37.794554),14155514286.0,63971_20171117,11/17/2017 12:00:00 AM,,Reinspection/Followup,63971_20171117_103142,Unclean nonfood contact surfaces,Low Risk,104.0,104.0,6.0,3.0,6.0
7655,H&W Market,801 HAYES St,San Francisco,CA,94117,37.77598,-122.429577,POINT (-122.429577 37.77598),,7655_20180920,09/20/2018 12:00:00 AM,94.0,Routine - Unscheduled,7655_20180920_103157,Food safety certificate or food handler card not available,Low Risk,22.0,22.0,4.0,11.0,9.0
2325,THE CITRUS CLUB,1790 HAIGHT St,San Francisco,CA,94117,37.769428,-122.451604,POINT (-122.451604 37.769428),14155759656.0,2325_20170125,01/25/2017 12:00:00 AM,84.0,Routine - Unscheduled,2325_20170125_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,25.0,25.0,7.0,11.0,3.0
62767,Lincoln Way Shell,601 Lincoln Way,San Francisco,CA,94122,37.766003,-122.464538,POINT (-122.464538 37.766003),,62767_20190626,06/26/2019 12:00:00 AM,98.0,Routine - Unscheduled,62767_20190626_103144,Unapproved or unmaintained equipment or utensils,Low Risk,109.0,109.0,10.0,11.0,12.0
279,Inga Donuts,1026 Hyde St,San Francisco,CA,94109,37.790347,-122.417227,POINT (-122.417227 37.790347),,279_20171010,10/10/2017 12:00:00 AM,92.0,Routine - Unscheduled,279_20171010_103147,Inadequate ventilation or lighting,Low Risk,16.0,16.0,6.0,3.0,21.0
33160,Mission Bay Cafe,550 Terry Francois St,San Francisco,CA,94158,37.770518,-122.386525,POINT (-122.386525 37.770518),14155831002.0,33160_20161205,12/05/2016 12:00:00 AM,94.0,Routine - Unscheduled,33160_20161205_103120,Moderate risk food holding temperature,Moderate Risk,34.0,34.0,1.0,10.0,4.0
3228,THANH LONG RESTAURANT,4101 JUDAH St,San Francisco,CA,94122,37.760383,-122.50609,POINT (-122.50609 37.760383),14155257984.0,3228_20180619,06/19/2018 12:00:00 AM,86.0,Routine - Unscheduled,3228_20180619_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,39.0,39.0,10.0,7.0,35.0
96578,GOOOD FORTUNE LLC.,700 GRANT AVE,San Francisco,CA,94108,,,,14155307071.0,96578_20180817,08/17/2018 12:00:00 AM,78.0,Routine - Unscheduled,96578_20180817_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,
71380,Curry Up Now,659 Valencia St,San Francisco,CA,94110,37.762265,-122.421586,POINT (-122.421586 37.762265),14155827000.0,71380_20190110,01/10/2019 12:00:00 AM,,Complaint,,,,53.0,53.0,3.0,2.0,20.0
39049,Specialty's Cafe & Bakery,"1 Post St, Lower Level",San Francisco,CA,94104,37.789068,-122.40201,POINT (-122.40201 37.789068),,39049_20190415,04/15/2019 12:00:00 AM,92.0,Routine - Unscheduled,39049_20190415_103145,Improper storage of equipment utensils or linens,Low Risk,19.0,19.0,6.0,3.0,8.0
92530,Taqueria Zorro,308 Columbus Ave,San Francisco,CA,94133,,,,14155399677.0,92530_20190823,08/23/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
30532,Roadhouse Cafe,5191 03rd St,San Francisco,CA,94124,37.730959,-122.39194,POINT (-122.39194 37.730959),,30532_20190925,09/25/2019 12:00:00 AM,78.0,Routine - Unscheduled,30532_20190925_103103,High risk food holding temperature,High Risk,86.0,86.0,2.0,9.0,1.0
4678,BOUDIN BAKERY,399 10th Ave,San Francisco,CA,94118,37.781139,-122.468635,POINT (-122.468635 37.781139),,4678_20171020,10/20/2017 12:00:00 AM,75.0,Routine - Unscheduled,4678_20171020_103139,Improper food storage,Low Risk,5.0,5.0,8.0,4.0,11.0
93460,Che Fico Alimentari,834 Divisadero St,San Francisco,CA,94117,,,,,93460_20180124,01/24/2018 12:00:00 AM,,New Construction,,,,,,,,
59727,Luigi's Pizzeria,Pier 39  Space 211-212,San Francisco,CA,94133,37.80824,-122.410189,POINT (-122.410189 37.80824),,59727_20180123,01/23/2018 12:00:00 AM,,Reinspection/Followup,,,,99.0,99.0,6.0,3.0,23.0
60473,Dong Baek Korean Restaurant,631 O'Farrell St,San Francisco,CA,94109,37.785503,-122.415157,POINT (-122.415157 37.785503),,60473_20170629,06/29/2017 12:00:00 AM,94.0,Routine - Unscheduled,60473_20170629_103161,Low risk vermin infestation,Low Risk,20.0,20.0,5.0,10.0,36.0
510,Donut Time,2401 Noriega St,San Francisco,CA,94122,37.753633,-122.48954,POINT (-122.48954 37.753633),,510_20161109,11/09/2016 12:00:00 AM,87.0,Routine - Unscheduled,510_20161109_103120,Moderate risk food holding temperature,Moderate Risk,39.0,39.0,10.0,7.0,35.0
62889,Benu,22 HAWTHORNE St,San Francisco,CA,94105,37.785608,-122.399069,POINT (-122.399069 37.785608),,62889_20190710,07/10/2019 12:00:00 AM,94.0,Routine - Unscheduled,62889_20190710_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,32.0,32.0,1.0,10.0,8.0
3491,Borodudur Restaurant,700 Post St,San Francisco,CA,94109,37.787677,-122.413624,POINT (-122.413624 37.787677),,3491_20190530,05/30/2019 12:00:00 AM,88.0,Routine - Unscheduled,3491_20190530_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,50.0,50.0,6.0,3.0,21.0
3323,Swensen's of SF Inc,1999 Hyde St,San Francisco,CA,94109,37.799187,-122.419115,POINT (-122.419115 37.799187),,3323_20180213,02/13/2018 12:00:00 AM,96.0,Routine - Unscheduled,3323_20180213_103142,Unclean nonfood contact surfaces,Low Risk,107.0,107.0,6.0,3.0,32.0
22304,Julie's Kitchen,50 FREMONT St,San Francisco,CA,94105,37.790897,-122.397318,POINT (-122.397318 37.790897),,22304_20170313,03/13/2017 12:00:00 AM,94.0,Routine - Unscheduled,22304_20170313_103120,Moderate risk food holding temperature,Moderate Risk,108.0,108.0,6.0,10.0,8.0
4449,Universal Bakery Inc.,3458 MISSION St,San Francisco,CA,94110,37.741317,-122.422687,POINT (-122.422687 37.741317),,4449_20190913,09/13/2019 12:00:00 AM,,Reinspection/Followup,,,,83.0,83.0,9.0,2.0,2.0
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20180523,05/23/2018 12:00:00 AM,76.0,Routine - Unscheduled,1000_20180523_103133,Foods not protected from contamination,Moderate Risk,53.0,53.0,3.0,2.0,20.0
79069,Lush Gelato,1817 Polk St,San Francisco,CA,94109,,,,,79069_20170821,08/21/2017 12:00:00 AM,92.0,Routine - Unscheduled,79069_20170821_103142,Unclean nonfood contact surfaces,Low Risk,,,,,
3571,CITY CLUB,"155 Sansome St, 10th Floor",San Francisco,CA,94104,37.791714,-122.400835,POINT (-122.400835 37.791714),,3571_20190409,04/09/2019 12:00:00 AM,88.0,Routine - Unscheduled,3571_20190409_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,108.0,108.0,6.0,3.0,8.0
40185,5A5 Steak Lounge,244 Jackson St,San Francisco,CA,94111,37.796921,-122.400039,POINT (-122.400039 37.796921),,40185_20170222,02/22/2017 12:00:00 AM,94.0,Routine - Unscheduled,40185_20170222_103139,Improper food storage,Low Risk,77.0,77.0,6.0,3.0,8.0
37820,Natural Sensations,1650 HOLLOWAY St #134,San Francisco,CA,94132,37.720894,-122.478029,POINT (-122.478029 37.720894),14155238257.0,37820_20161110,11/10/2016 12:00:00 AM,94.0,Routine - Unscheduled,37820_20161110_103120,Moderate risk food holding temperature,Moderate Risk,42.0,42.0,10.0,8.0,16.0
94706,Agricole II,355 11th St suite 100,San Francisco,CA,94103,,,,,94706_20190909,09/09/2019 12:00:00 AM,77.0,Routine - Unscheduled,94706_20190909_103120,Moderate risk food holding temperature,Moderate Risk,,,,,
9948,Whole Foods Market,399 04th St,San Francisco,CA,94107,37.780934,-122.399772,POINT (-122.399772 37.780934),,9948_20190322,03/22/2019 12:00:00 AM,,New Construction,,,,32.0,32.0,1.0,10.0,34.0
2987,The Penthouse Club & Steakhouse,412 Broadway St,San Francisco,CA,94133,37.798217,-122.404214,POINT (-122.404214 37.798217),,2987_20170719,07/19/2017 12:00:00 AM,94.0,Routine - Unscheduled,2987_20170719_103144,Unapproved or unmaintained equipment or utensils,Low Risk,106.0,106.0,6.0,3.0,23.0
101678,RICE PAPER SCISSORS,2723 OAKDALE AVE,San Francisco,CA,94124,,,,14158203389.0,101678_20190823,08/23/2019 12:00:00 AM,,New Ownership,,,,,,,,
1959,EBISU RESTAURANT,1283 09th Ave,San Francisco,CA,94122,37.758941,-122.48591,POINT (-122.48591 37.758941),,1959_20190206,02/06/2019 12:00:00 AM,79.0,Routine - Unscheduled,1959_20190206_103103,High risk food holding temperature,High Risk,39.0,39.0,10.0,7.0,35.0
32625,Korean Village Restaurant,4611 GEARY Blvd,San Francisco,CA,94118,37.780712,-122.4687,POINT (-122.4687 37.780712),,32625_20190425,04/25/2019 12:00:00 AM,94.0,Routine - Unscheduled,32625_20190425_103120,Moderate risk food holding temperature,Moderate Risk,5.0,5.0,8.0,4.0,11.0
302,MOULIN ROUGE,887 GEARY St,San Francisco,CA,94109,37.786084,-122.417889,POINT (-122.417889 37.786084),,302_20190917,09/17/2019 12:00:00 AM,96.0,Routine - Unscheduled,302_20190917_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20.0,20.0,6.0,10.0,36.0
94605,U Dessert Story,3489 16th St,San Francisco,CA,94114,,,,,94605_20190205,02/05/2019 12:00:00 AM,92.0,Routine - Unscheduled,94605_20190205_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,
4874,JUMP START COFFEE & GROCERY,1192 GUERRERO St,San Francisco,CA,94110,37.752118,-122.422914,POINT (-122.422914 37.752118),14155647555.0,4874_20170815,08/15/2017 12:00:00 AM,88.0,Routine - Unscheduled,4874_20170815_103142,Unclean nonfood contact surfaces,Low Risk,52.0,52.0,3.0,5.0,20.0
100716,AL'S DELI,598 GUERRERO ST,San Francisco,CA,94110,,,,,100716_20190528,05/28/2019 12:00:00 AM,,New Construction,,,,,,,,
38072,6001 California Market,6001 California St,San Francisco,CA,94121,37.783984,-122.481969,POINT (-122.481969 37.783984),,38072_20180925,09/25/2018 12:00:00 AM,73.0,Routine - Unscheduled,38072_20180925_103120,Moderate risk food holding temperature,Moderate Risk,8.0,8.0,8.0,4.0,29.0
61073,Fat Angel,1740 O' Farrell St,San Francisco,CA,94115,37.783237,-122.433243,POINT (-122.433243 37.783237),,61073_20170222,02/22/2017 12:00:00 AM,80.0,Routine - Unscheduled,61073_20170222_103107,Improper reheating of food,High Risk,97.0,97.0,4.0,11.0,39.0
428,Caffe Ambrosia,14 Trinity Pl,San Francisco,CA,94104,37.790109,-122.402597,POINT (-122.402597 37.790109),,428_20171026,10/26/2017 12:00:00 AM,98.0,Routine - Unscheduled,428_20171026_103144,Unapproved or unmaintained equipment or utensils,Low Risk,19.0,19.0,6.0,3.0,8.0
6432,CLAY THEATRE,2261 FILLMORE St,San Francisco,CA,94115,37.790494,-122.434174,POINT (-122.434174 37.790494),,6432_20190524,05/24/2019 12:00:00 AM,96.0,Routine - Unscheduled,6432_20190524_103161,Low risk vermin infestation,Low Risk,102.0,102.0,4.0,6.0,30.0
9273,Taqueria Mana,439 Stockton St,San Francisco,CA,94108,37.790043,-122.407104,POINT (-122.407104 37.790043),,9273_20180426,04/26/2018 12:00:00 AM,76.0,Routine - Unscheduled,9273_20180426_103157,Food safety certificate or food handler card not available,Low Risk,19.0,19.0,6.0,3.0,8.0
78819,San Francisco Champagne Society,1097 Howard St #101,San Francisco,CA,94103,,,,,78819_20171129,11/29/2017 12:00:00 AM,,Non-inspection site visit,,,,,,,,
69707,Little Green Cyclo 2,Off The Grid,San Francisco,CA,,,,,14155371657.0,69707_20190327,03/27/2019 12:00:00 AM,,Structural Inspection,,,,,,,,
1262,NORTH BEACH PIZZA,800 STANYAN St,San Francisco,CA,94117,37.767286,-122.453075,POINT (-122.453075 37.767286),14155752300.0,1262_20171215,12/15/2017 12:00:00 AM,90.0,Routine - Unscheduled,1262_20171215_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,29.0,29.0,7.0,11.0,3.0
7643,PACIFIC SUPER MARKET,2900 ALEMANY Blvd,San Francisco,CA,94112,37.712148,-122.452076,POINT (-122.452076 37.712148),14155331628.0,7643_20170309,03/09/2017 12:00:00 AM,67.0,Routine - Unscheduled,7643_20170309_103108,Contaminated or adulterated food,High Risk,66.0,66.0,9.0,1.0,28.0
38258,Hong Kong Bakery,4711 MISSION St,San Francisco,CA,94112,37.722898,-122.436086,POINT (-122.436086 37.722898),,38258_20190108,01/08/2019 12:00:00 AM,68.0,Routine - Unscheduled,38258_20190108_103114,High risk vermin infestation,High Risk,90.0,90.0,9.0,1.0,7.0
64738,Japacurry,Public,San Francisco,CA,CA,37.777122,-122.419639,POINT (-122.419639 37.777122),,64738_20170124,01/24/2017 12:00:00 AM,,Structural Inspection,64738_20170124_103148,No thermometers or uncalibrated thermometers,Low Risk,21.0,21.0,4.0,10.0,36.0
40216,Kuishinbo,22 Peace Plaza #535,San Francisco,CA,94115,37.785018,-122.429587,POINT (-122.429587 37.785018),,40216_20180717,07/17/2018 12:00:00 AM,75.0,Routine - Unscheduled,40216_20180717_103132,Improper thawing methods,Moderate Risk,101.0,101.0,4.0,11.0,15.0
3561,Lee's Deli,235 Montgomery St,San Francisco,CA,94104,37.791464,-122.402435,POINT (-122.402435 37.791464),14155858203.0,3561_20190722,07/22/2019 12:00:00 AM,77.0,Routine - Unscheduled,3561_20190722_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,108.0,108.0,6.0,3.0,8.0
69194,Grandma's Deli & Cafe,1551 Mission St,San Francisco,CA,94103,,,,,69194_20190513,05/13/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
