,source,compare,col_iguais,col_diferentes,col_dificuldade,country,total_col
119,USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__29.csv,12,44,0.7857142857142857,USA,56
122,USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__24.csv,12,44,0.7857142857142857,USA,56
129,USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__24.csv,16,34,0.68,USA,50
130,USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__4.csv,14,39,0.7358490566037735,USA,53
131,USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__28.csv,16,34,0.68,USA,50
135,USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__26.csv,16,34,0.68,USA,50
136,USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__29.csv,16,34,0.68,USA,50
137,USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__1.csv,14,39,0.7358490566037735,USA,53
160,USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__3.csv,12,47,0.7966101694915254,USA,59
168,USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__2.csv,12,47,0.7966101694915254,USA,59
169,USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__1.csv,12,47,0.7966101694915254,USA,59
170,USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__0.csv,12,47,0.7966101694915254,USA,59
176,USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__3.csv,12,47,0.7966101694915254,USA,59
177,USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__1.csv,12,47,0.7966101694915254,USA,59
181,USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__0.csv,12,47,0.7966101694915254,USA,59
183,USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__12.csv,12,38,0.76,USA,50
185,USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__16.csv,12,38,0.76,USA,50
206,USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__4.csv,12,47,0.7966101694915254,USA,59
211,USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__14.csv,12,38,0.76,USA,50
215,USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__12.csv,12,38,0.76,USA,50
217,USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__16.csv,12,38,0.76,USA,50
226,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__10.csv,9,32,0.7804878048780488,USA,41
227,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__24.csv,14,44,0.7586206896551724,USA,58
228,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__6.csv,9,32,0.7804878048780488,USA,41
229,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__19.csv,10,37,0.7872340425531915,USA,47
231,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__28.csv,14,44,0.7586206896551724,USA,58
232,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__22.csv,10,37,0.7872340425531915,USA,47
235,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__11.csv,9,32,0.7804878048780488,USA,41
236,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__9.csv,9,32,0.7804878048780488,USA,41
237,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__26.csv,14,44,0.7586206896551724,USA,58
238,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__29.csv,14,44,0.7586206896551724,USA,58
239,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__21.csv,10,37,0.7872340425531915,USA,47
240,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__4.csv,15,43,0.7413793103448276,USA,58
241,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__1.csv,15,43,0.7413793103448276,USA,58
242,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__5.csv,15,43,0.7413793103448276,USA,58
243,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__20.csv,10,37,0.7872340425531915,USA,47
244,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__27.csv,14,44,0.7586206896551724,USA,58
245,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__2.csv,15,43,0.7413793103448276,USA,58
246,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__3.csv,15,43,0.7413793103448276,USA,58
247,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__0.csv,15,43,0.7413793103448276,USA,58
250,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__19.csv,13,50,0.7936507936507936,USA,63
252,USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__29.csv,14,46,0.7666666666666667,USA,60
253,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__18.csv,13,50,0.7936507936507936,USA,63
254,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__20.csv,13,50,0.7936507936507936,USA,63
255,USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__10.csv,12,42,0.7777777777777778,USA,54
257,USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__11.csv,12,42,0.7777777777777778,USA,54
261,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__21.csv,13,50,0.7936507936507936,USA,63
262,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__19.csv,13,51,0.796875,USA,64
263,USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__29.csv,16,43,0.7288135593220338,USA,59
264,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__18.csv,13,51,0.796875,USA,64
265,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__20.csv,13,51,0.796875,USA,64
269,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__21.csv,13,51,0.796875,USA,64
273,USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__24.csv,16,43,0.7288135593220338,USA,59
276,USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__11.csv,14,39,0.7358490566037735,USA,53
277,USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__10.csv,14,39,0.7358490566037735,USA,53
278,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,10,39,0.7959183673469388,USA,49
280,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__28.csv,10,39,0.7959183673469388,USA,49
282,USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__8.csv,14,39,0.7358490566037735,USA,53
283,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__24.csv,10,39,0.7959183673469388,USA,49
285,USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__9.csv,14,39,0.7358490566037735,USA,53
286,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__1.csv,13,48,0.7868852459016393,USA,61
287,USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__6.csv,14,39,0.7358490566037735,USA,53
288,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__5.csv,13,48,0.7868852459016393,USA,61
290,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__24.csv,16,41,0.7192982456140351,USA,57
291,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__14.csv,12,41,0.7735849056603774,USA,53
292,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__15.csv,12,41,0.7735849056603774,USA,53
294,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__28.csv,16,41,0.7192982456140351,USA,57
297,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__12.csv,12,41,0.7735849056603774,USA,53
298,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__16.csv,12,41,0.7735849056603774,USA,53
299,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__29.csv,16,41,0.7192982456140351,USA,57
301,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__9.csv,13,45,0.7758620689655172,USA,58
308,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__9.csv,16,38,0.7037037037037037,USA,54
309,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__19.csv,13,50,0.7936507936507936,USA,63
310,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__18.csv,13,50,0.7936507936507936,USA,63
314,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__21.csv,13,50,0.7936507936507936,USA,63
320,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__24.csv,14,44,0.7586206896551724,USA,58
321,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__28.csv,14,44,0.7586206896551724,USA,58
323,USA_CSV0000000000034882__29.csv,USA_CSV0000000000037101__11.csv,12,42,0.7777777777777778,USA,54
324,USA_CSV0000000000034882__29.csv,USA_CSV0000000000037101__29.csv,14,46,0.7666666666666667,USA,60
325,USA_CSV0000000000034882__29.csv,USA_CSV0000000000037101__10.csv,12,42,0.7777777777777778,USA,54
326,USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__10.csv,9,32,0.7804878048780488,USA,41
331,USA_CSV0000000000034882__29.csv,USA_CSV0000000000037101__8.csv,12,42,0.7777777777777778,USA,54
334,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__19.csv,17,48,0.7384615384615385,USA,65
336,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__11.csv,15,42,0.7368421052631579,USA,57
337,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__29.csv,19,42,0.6885245901639344,USA,61
338,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__18.csv,17,48,0.7384615384615385,USA,65
339,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__20.csv,17,48,0.7384615384615385,USA,65
340,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__10.csv,15,42,0.7368421052631579,USA,57
344,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__21.csv,17,48,0.7384615384615385,USA,65
345,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__3.csv,18,43,0.7049180327868853,USA,61
346,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__2.csv,18,43,0.7049180327868853,USA,61
347,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__1.csv,18,43,0.7049180327868853,USA,61
348,USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__15.csv,33,4,0.1081081081081081,USA,37
349,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__0.csv,18,43,0.7049180327868853,USA,61
350,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__13.csv,12,41,0.7735849056603774,USA,53
351,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__4.csv,18,43,0.7049180327868853,USA,61
352,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__17.csv,12,41,0.7735849056603774,USA,53
353,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__5.csv,18,43,0.7049180327868853,USA,61
354,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__15.csv,12,41,0.7735849056603774,USA,53
355,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__14.csv,12,41,0.7735849056603774,USA,53
356,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__0.csv,12,38,0.76,USA,50
357,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__5.csv,12,38,0.76,USA,50
358,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__24.csv,15,48,0.7619047619047619,USA,63
360,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__28.csv,15,48,0.7619047619047619,USA,63
361,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__9.csv,15,46,0.7540983606557377,USA,61
363,USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__4.csv,16,47,0.746031746031746,USA,63
371,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__9.csv,15,42,0.7368421052631579,USA,57
372,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__4.csv,12,38,0.76,USA,50
373,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__1.csv,12,38,0.76,USA,50
375,USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__19.csv,10,37,0.7872340425531915,USA,47
376,USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__22.csv,10,37,0.7872340425531915,USA,47
385,USA_CSV0000000000034882__29.csv,USA_CSV0000000000037101__24.csv,13,48,0.7868852459016393,USA,61
386,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__13.csv,10,39,0.7959183673469388,USA,49
387,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__8.csv,16,38,0.7037037037037037,USA,54
388,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__7.csv,16,38,0.7037037037037037,USA,54
389,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__17.csv,10,39,0.7959183673469388,USA,49
390,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__6.csv,16,38,0.7037037037037037,USA,54
391,USA_CSV0000000000034882__29.csv,USA_CSV0000000000037101__27.csv,14,46,0.7666666666666667,USA,60
392,USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__25.csv,27,4,0.1290322580645161,USA,31
393,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__11.csv,16,38,0.7037037037037037,USA,54
394,USA_CSV0000000000034882__29.csv,USA_CSV0000000000037101__28.csv,14,46,0.7666666666666667,USA,60
395,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__8.csv,13,45,0.7758620689655172,USA,58
396,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__7.csv,13,45,0.7758620689655172,USA,58
397,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__6.csv,13,45,0.7758620689655172,USA,58
398,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__27.csv,16,41,0.7192982456140351,USA,57
401,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__19.csv,13,51,0.796875,USA,64
402,USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__29.csv,16,43,0.7288135593220338,USA,59
403,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__18.csv,13,51,0.796875,USA,64
404,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__20.csv,13,51,0.796875,USA,64
408,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__21.csv,13,51,0.796875,USA,64
410,USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__4.csv,13,48,0.7868852459016393,USA,61
413,USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__24.csv,16,43,0.7288135593220338,USA,59
414,USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__14.csv,12,41,0.7735849056603774,USA,53
415,USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__15.csv,12,41,0.7735849056603774,USA,53
416,USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__12.csv,12,41,0.7735849056603774,USA,53
417,USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__16.csv,12,41,0.7735849056603774,USA,53
421,USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__11.csv,14,39,0.7358490566037735,USA,53
422,USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__10.csv,14,39,0.7358490566037735,USA,53
423,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__24.csv,16,41,0.7192982456140351,USA,57
424,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__9.csv,13,45,0.7758620689655172,USA,58
425,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__28.csv,16,41,0.7192982456140351,USA,57
426,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__8.csv,13,45,0.7758620689655172,USA,58
427,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__7.csv,13,45,0.7758620689655172,USA,58
433,USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__8.csv,14,39,0.7358490566037735,USA,53
434,USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__9.csv,14,39,0.7358490566037735,USA,53
436,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__8.csv,10,39,0.7959183673469388,USA,49
438,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__7.csv,10,39,0.7959183673469388,USA,49
439,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__1.csv,16,47,0.746031746031746,USA,63
442,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__0.csv,16,47,0.746031746031746,USA,63
443,USA_CSV0000000000035902__16.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921,USA,113
444,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__9.csv,10,39,0.7959183673469388,USA,49
446,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__3.csv,16,47,0.746031746031746,USA,63
447,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__11.csv,10,39,0.7959183673469388,USA,49
448,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__5.csv,16,47,0.746031746031746,USA,63
450,USA_CSV0000000000035902__16.csv,USA_CSV0000000000034192.csv,27,89,0.7672413793103449,USA,116
451,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__6.csv,16,47,0.746031746031746,USA,63
452,USA_CSV0000000000035902__16.csv,USA_CSV0000000000034607.csv,29,85,0.7456140350877193,USA,114
453,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__4.csv,16,47,0.746031746031746,USA,63
459,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__8.csv,10,39,0.7959183673469388,USA,49
461,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__7.csv,10,39,0.7959183673469388,USA,49
462,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__1.csv,16,47,0.746031746031746,USA,63
465,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__0.csv,16,47,0.746031746031746,USA,63
466,USA_CSV0000000000035902__20.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921,USA,113
467,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__9.csv,10,39,0.7959183673469388,USA,49
469,USA_CSV0000000000035902__20.csv,USA_CSV0000000000034192.csv,27,89,0.7672413793103449,USA,116
470,USA_CSV0000000000035902__20.csv,USA_CSV0000000000034607.csv,29,85,0.7456140350877193,USA,114
472,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__3.csv,16,47,0.746031746031746,USA,63
473,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__2.csv,15,49,0.765625,USA,64
474,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__5.csv,16,47,0.746031746031746,USA,63
476,USA_CSV0000000000035902__20.csv,USA_CSV0000000000035902__6.csv,16,47,0.746031746031746,USA,63
483,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__19.csv,13,51,0.796875,USA,64
484,USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__29.csv,16,43,0.7288135593220338,USA,59
485,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__18.csv,13,51,0.796875,USA,64
488,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__21.csv,13,51,0.796875,USA,64
490,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__4.csv,13,48,0.7868852459016393,USA,61
493,USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__24.csv,16,43,0.7288135593220338,USA,59
495,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__1.csv,13,48,0.7868852459016393,USA,61
497,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__5.csv,13,48,0.7868852459016393,USA,61
500,USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__11.csv,14,39,0.7358490566037735,USA,53
501,USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__10.csv,14,39,0.7358490566037735,USA,53
502,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__26.csv,10,39,0.7959183673469388,USA,49
504,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__28.csv,10,39,0.7959183673469388,USA,49
506,USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__8.csv,14,39,0.7358490566037735,USA,53
507,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__24.csv,10,39,0.7959183673469388,USA,49
508,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__9.csv,13,45,0.7758620689655172,USA,58
511,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__14.csv,12,41,0.7735849056603774,USA,53
512,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__15.csv,12,41,0.7735849056603774,USA,53
514,USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__9.csv,14,39,0.7358490566037735,USA,53
515,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__24.csv,16,41,0.7192982456140351,USA,57
517,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__28.csv,16,41,0.7192982456140351,USA,57
520,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__12.csv,12,41,0.7735849056603774,USA,53
521,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__16.csv,12,41,0.7735849056603774,USA,53
522,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__26.csv,16,41,0.7192982456140351,USA,57
523,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__29.csv,16,41,0.7192982456140351,USA,57
527,USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__4.csv,12,47,0.7966101694915254,USA,59
537,USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__14.csv,11,40,0.7843137254901961,USA,51
538,USA_CSV0000000000033847__3.csv,USA_CSV0000000000037101.csv,26,72,0.7346938775510204,USA,98
560,USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__12.csv,11,40,0.7843137254901961,USA,51
561,USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__16.csv,11,40,0.7843137254901961,USA,51
567,USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__6.csv,14,39,0.7358490566037735,USA,53
583,USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882.csv,26,72,0.7346938775510204,USA,98
592,USA_CSV0000000000035902__18.csv,USA_CSV0000000000034607.csv,29,85,0.7456140350877193,USA,114
596,USA_CSV0000000000035902__18.csv,USA_CSV0000000000035902__5.csv,16,47,0.746031746031746,USA,63
597,USA_CSV0000000000035902__18.csv,USA_CSV0000000000035902__6.csv,16,47,0.746031746031746,USA,63
598,USA_CSV0000000000035902__18.csv,USA_CSV0000000000035902__0.csv,16,47,0.746031746031746,USA,63
599,USA_CSV0000000000035902__18.csv,USA_CSV0000000000035902__1.csv,16,47,0.746031746031746,USA,63
600,USA_CSV0000000000035902__18.csv,USA_CSV0000000000035902__3.csv,16,47,0.746031746031746,USA,63
601,USA_CSV0000000000035902__17.csv,USA_CSV0000000000035902__8.csv,10,39,0.7959183673469388,USA,49
603,USA_CSV0000000000035902__17.csv,USA_CSV0000000000035902__7.csv,10,39,0.7959183673469388,USA,49
604,USA_CSV0000000000035902__17.csv,USA_CSV0000000000035902__1.csv,16,47,0.746031746031746,USA,63
607,USA_CSV0000000000035902__17.csv,USA_CSV0000000000035902__0.csv,16,47,0.746031746031746,USA,63
608,USA_CSV0000000000035902__17.csv,USA_CSV0000000000035902__9.csv,10,39,0.7959183673469388,USA,49
610,USA_CSV0000000000035902__17.csv,USA_CSV0000000000035902__3.csv,16,47,0.746031746031746,USA,63
611,USA_CSV0000000000035902__17.csv,USA_CSV0000000000034192.csv,27,89,0.7672413793103449,USA,116
