query_table,candidate_table,query_column,candidate_column
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Provider Code,Provider Code
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Pre-Op Q Discomfort,Pre-Op Q Discomfort
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Pre-Op Q Activity,Pre-Op Q Activity
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Post-Op Q Wound,Post-Op Q Wound
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Pre-Op Q Self-Care,Pre-Op Q Self-Care
CAN_CSV0000000000001787__12.csv,CAN_CSV0000000000001797__0.csv,RentLocation,RentLocation
CAN_CSV0000000000001787__35.csv,CAN_CSV0000000000001787__3.csv,Province/Canada,Province/Canada
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__2.csv,ban_q18_q191,ban_q18_q191
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__2.csv,occupation2,occupation2
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__2.csv,ban_children4,ban_children4
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__2.csv,livinginsg_2_slice,livinginsg_2_slice
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__2.csv,yearbornin_1_slice,yearbornin_1_slice
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__2.csv,ban_education4,ban_education4
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,URBAN_CODE,URBAN_CODE
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,VERT_ALIGN,VERT_ALIGN
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,ROUTE_NUMBER,ROUTE_NUMBER
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,TURN_LANES_L,TURN_LANES_L
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,DONUT_EXP_FACTOR,DONUT_EXP_FACTOR
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,AT_GRADE_SIGNS,AT_GRADE_SIGNS
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__15.csv,respondent_id,respondent_id
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__15.csv,yearbornin_1_slice,yearbornin_1_slice
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__15.csv,highestlevel,highestlevel
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__10.csv,Kidney Disease,Kidney Disease
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__10.csv,Post-Op Q Activity,Post-Op Q Activity
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__10.csv,Heart Disease,Heart Disease
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__10.csv,Post-Op Q Bleeding,Post-Op Q Bleeding
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__10.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__10.csv,Depression,Depression
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__10.csv,Post-Op Q Urine,Post-Op Q Urine
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__9.csv,PEAK_CAPACITY,PEAK_CAPACITY
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__9.csv,URBAN_CODE,URBAN_CODE
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__9.csv,ROUTE_NUMBER,ROUTE_NUMBER
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__9.csv,SAMPLING_TECH,SAMPLING_TECH
CAN_CSV0000000000001787__39.csv,CAN_CSV0000000000001797__21.csv,Province/Canada,Province/Canada
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Kidney Disease,Kidney Disease
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Post-Op Q Activity,Post-Op Q Activity
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Mobility,Pre-Op Q Mobility
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Depression,Depression
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__22.csv,Revision Flag,Revision Flag
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__22.csv,Provider Code,Provider Code
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__22.csv,Kidney Disease,Kidney Disease
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q Mobility,Pre-Op Q Mobility
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q Assisted,Pre-Op Q Assisted
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q EQ VAS,Pre-Op Q EQ VAS
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q Anxiety,Pre-Op Q Anxiety
CAN_CSV0000000000001787__40.csv,CAN_CSV0000000000001787__5.csv,Province/Canada,Province/Canada
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__5.csv,ban_q18_q191,ban_q18_q191
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__5.csv,occupation2,occupation2
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__5.csv,ban_children4,ban_children4
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__5.csv,livinginsg_2_slice,livinginsg_2_slice
SG_CSV0000000000000925__4.csv,SG_CSV0000000000001714__5.csv,ban_education4,ban_education4
CAN_CSV0000000000001797__6.csv,CAN_CSV0000000000001787__11.csv,RentLocation,RentLocation
UK_CSV0000000000007396__12.csv,UK_CSV0000000000002010__14.csv,Revision Flag,Revision Flag
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000001487__20.csv,ALTMETR_SETNG,ALTMETR_SETNG
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000001487__20.csv,PCPN_AMT_PST6HRS_QA,PCPN_AMT_PST6HRS_QA
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000001487__20.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000001487__20.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,yearbornin_1_slice,yearbornin_1_slice
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,respondent_serial,respondent_serial
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,ban_children4,ban_children4
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,ban_marital,ban_marital
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,livinginsg_2_slice,livinginsg_2_slice
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,ban_education4,ban_education4
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,ban_age_youngest,ban_age_youngest
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,ageofrespondent,ageofrespondent
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,livinginsg_1_slice,livinginsg_1_slice
SG_CSV0000000000001714__6.csv,SG_CSV0000000000001714__32.csv,socialnetwork_dp04,socialnetwork_dp04
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__5.csv,DONUT_VOLUME_GROUP,DONUT_VOLUME_GROUP
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__5.csv,YEAR_SURF_IMPROV,YEAR_SURF_IMPROV
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,AVG_STN_PRES_PST1MT,AVG_STN_PRES_PST1MT
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,PCPN_AMT_PST6HRS,PCPN_AMT_PST6HRS
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,ALTMETR_SETNG,ALTMETR_SETNG
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,ICAO_STN_ID,ICAO_STN_ID
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,MIN_AIR_TEMP_PST1HR,MIN_AIR_TEMP_PST1HR
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,OBS_DATETIME_UTC,OBS_DATETIME_UTC
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,AVG_VIS_PST1MT,AVG_VIS_PST1MT
CAN_CSV0000000000027346__30.csv,CAN_CSV0000000000027348.csv,LTNG_DIS_RMK,LTNG_DIS_RMK
CAN_CSV0000000000001787__5.csv,CAN_CSV0000000000001787__41.csv,Province/Canada,Province/Canada
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability
UK_CSV0000000000007396__10.csv,UK_CSV0000000000006676__22.csv,Revision Flag,Revision Flag
UK_CSV0000000000007396__10.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
UK_CSV0000000000007396__10.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q Anxiety,Pre-Op Q Anxiety
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__23.csv,DIR_FACTOR,DIR_FACTOR
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__23.csv,DESIGN_SPEED,DESIGN_SPEED
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__23.csv,VERT_ALIGN,VERT_ALIGN
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__23.csv,AVG_COMBINATION,AVG_COMBINATION
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__23.csv,SPECIAL_SYSTEMS,SPECIAL_SYSTEMS
UK_CSV0000000000003896__3.csv,UK_CSV0000000000002010__6.csv,Provider Code,Provider Code
UK_CSV0000000000003896__3.csv,UK_CSV0000000000002010__6.csv,Pre-Op Q Activity,Pre-Op Q Activity
UK_CSV0000000000003896__3.csv,UK_CSV0000000000002010__6.csv,Post-Op Q Wound,Post-Op Q Wound
CAN_CSV0000000000001797__5.csv,CAN_CSV0000000000001787__13.csv,RentLocation,RentLocation
CAN_CSV0000000000001724__46.csv,CAN_CSV0000000000001787__10.csv,RentLocation,RentLocation
SG_CSV0000000000000925__4.csv,SG_CSV0000000000000925__16.csv,ban_no_ofchildren,ban_no_ofchildren
SG_CSV0000000000000925__4.csv,SG_CSV0000000000000925__16.csv,livinginsg_3_slice,livinginsg_3_slice
SG_CSV0000000000000925__4.csv,SG_CSV0000000000000925__16.csv,rankmostimptchild_2,rankmostimptchild_2
SG_CSV0000000000000925__4.csv,SG_CSV0000000000000925__16.csv,ban_education3,ban_education3
SG_CSV0000000000000925__4.csv,SG_CSV0000000000000925__16.csv,md_segment,md_segment
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,AVG_STN_PRES_PST1MT,AVG_STN_PRES_PST1MT
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,PCPN_AMT_PST6HRS,PCPN_AMT_PST6HRS
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,ALTMETR_SETNG,ALTMETR_SETNG
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,ICAO_STN_ID,ICAO_STN_ID
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,MIN_AIR_TEMP_PST1HR,MIN_AIR_TEMP_PST1HR
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,OBS_DATETIME_UTC,OBS_DATETIME_UTC
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,AVG_VIS_PST1MT,AVG_VIS_PST1MT
CAN_CSV0000000000027346__35.csv,CAN_CSV0000000000027353.csv,LTNG_DIS_RMK,LTNG_DIS_RMK
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q Mobility,Pre-Op Q Mobility
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__22.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027353__0.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027353__0.csv,DATA_PAYLOAD_URI,DATA_PAYLOAD_URI
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,TURN_LANES_R,TURN_LANES_R
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,UNBUILT_FACILITY,UNBUILT_FACILITY
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,LANE_WIDTH,LANE_WIDTH
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,AT_GRADE_SIGNAL,AT_GRADE_SIGNAL
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,SHOULDER_WIDTH_R,SHOULDER_WIDTH_R
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,THROUGH_LANES,THROUGH_LANES
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,PEAK_PARKING,PEAK_PARKING
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,YEAR_RECORD,YEAR_RECORD
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,AT_GRADE_SIGNS,AT_GRADE_SIGNS
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__15.csv,STD_VOLUME_GROUP,STD_VOLUME_GROUP
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__15.csv,PAVEMENT_TYPE,PAVEMENT_TYPE
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__15.csv,ACCESS_CONTROL,ACCESS_CONTROL
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__15.csv,VERT_ALIGN,VERT_ALIGN
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__15.csv,IS_GROUPED,IS_GROUPED
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__15.csv,UNBUILT_FACILITY,UNBUILT_FACILITY
UK_CSV0000000000006676__9.csv,UK_CSV0000000000003896__2.csv,Revision Flag,Revision Flag
UK_CSV0000000000006676__9.csv,UK_CSV0000000000003896__2.csv,Post-Op Q Wound,Post-Op Q Wound
UK_CSV0000000000006676__9.csv,UK_CSV0000000000003896__2.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000006676__9.csv,UK_CSV0000000000003896__2.csv,Provider Code,Provider Code
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,UNBUILT_FACILITY,UNBUILT_FACILITY
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,PERC_SINGLE_UNIT,PERC_SINGLE_UNIT
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,SECTION_ID,SECTION_ID
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,SHOULDER_WIDTH_R,SHOULDER_WIDTH_R
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,PEAK_PARKING,PEAK_PARKING
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,STD_VOLUME_GROUP,STD_VOLUME_GROUP
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,PAVEMENT_TYPE,PAVEMENT_TYPE
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,ACCESS_CONTROL,ACCESS_CONTROL
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,URBAN_CODE,URBAN_CODE
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,VERT_ALIGN,VERT_ALIGN
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,ROUTE_QUALIFIER,ROUTE_QUALIFIER
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,TRUCK_ROUTE,TRUCK_ROUTE
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__6.csv,DIR_FACTOR,DIR_FACTOR
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__6.csv,AVG_COMBINATION,AVG_COMBINATION
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__6.csv,SPECIAL_SYSTEMS,SPECIAL_SYSTEMS
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__2.csv,SAMPLING_TECH,SAMPLING_TECH
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__2.csv,YEAR_RECORD,YEAR_RECORD
USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__20.csv,LANE_WIDTH,LANE_WIDTH
USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__20.csv,INTER_ROUTE_NUMBER,INTER_ROUTE_NUMBER
USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__20.csv,PERC_GREEN,PERC_GREEN
USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__20.csv,MEDIAN_WIDTH,MEDIAN_WIDTH
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027346__31.csv,PCPN_AMT_PST6HRS,PCPN_AMT_PST6HRS
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027346__31.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027346__31.csv,LTNG_DIS_RMK,LTNG_DIS_RMK
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027346__31.csv,OBS_DATETIME_UTC,OBS_DATETIME_UTC
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027346__31.csv,AVG_VIS_PST1MT,AVG_VIS_PST1MT
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__26.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__26.csv,TYPE_FACILITY,TYPE_FACILITY
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__26.csv,SECTION_ID,SECTION_ID
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__26.csv,RURAL_URBAN,RURAL_URBAN
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__26.csv,COUNTY_CODE,COUNTY_CODE
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027355__22.csv,DNSTY_ALTD,DNSTY_ALTD
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS_QA,AVG_VIS_PST10MTS_QA
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,PCPN_AMT_PST1MT_QA,PCPN_AMT_PST1MT_QA
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST1MT,AVG_VIS_PST1MT
CAN_CSV0000000000027346__32.csv,CAN_CSV0000000000001487__22.csv,AVG_MSLP_PST1MT_QA,AVG_MSLP_PST1MT_QA
CAN_CSV0000000000027346__32.csv,CAN_CSV0000000000001487__22.csv,AVG_STN_PRES_PST1MT,AVG_STN_PRES_PST1MT
CAN_CSV0000000000027346__32.csv,CAN_CSV0000000000001487__22.csv,LTNG_DIS_RMK,LTNG_DIS_RMK
CAN_CSV0000000000027346__32.csv,CAN_CSV0000000000001487__22.csv,MIN_AIR_TEMP_PST1HR,MIN_AIR_TEMP_PST1HR
CAN_CSV0000000000027346__32.csv,CAN_CSV0000000000001487__22.csv,ALTMETR_SETNG,ALTMETR_SETNG
CAN_CSV0000000000027346__32.csv,CAN_CSV0000000000001487__22.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
CAN_CSV0000000000001787__6.csv,CAN_CSV0000000000001797__40.csv,Province/Canada,Province/Canada
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__4.csv,TURN_LANES_R,TURN_LANES_R
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__4.csv,PERC_SINGLE_UNIT,PERC_SINGLE_UNIT
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__4.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__4.csv,SECTION_ID,SECTION_ID
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__4.csv,COUNTY_CODE,COUNTY_CODE
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__4.csv,AT_GRADE_SIGNS,AT_GRADE_SIGNS
UK_CSV0000000000005907__42.csv,UK_CSV0000000000005907__47.csv,qd12_8_other,qd12_8_other
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,ALTMETR_SETNG,ALTMETR_SETNG
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,PCPN_AMT_PST6HRS_QA,PCPN_AMT_PST6HRS_QA
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
CAN_CSV0000000000001724__11.csv,CAN_CSV0000000000001797__10.csv,Province/Canada,Province/Canada
CAN_CSV0000000000001724__11.csv,CAN_CSV0000000000001797__10.csv,RentLocation,RentLocation
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__21.csv,Pre-Op Q Assisted,Pre-Op Q Assisted
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__21.csv,Provider Code,Provider Code
CAN_CSV0000000000001787__2.csv,CAN_CSV0000000000001797__35.csv,Province/Canada,Province/Canada
CAN_CSV0000000000001797__0.csv,CAN_CSV0000000000001797__11.csv,RentLocation,RentLocation
USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__2.csv,TYPE OF IMPROVEMENT,TYPE OF IMPROVEMENT
USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__2.csv,PEAK CAPACITY,PEAK CAPACITY
USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__2.csv,RIGHT OF WAY WIDTH,RIGHT OF WAY WIDTH
USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__2.csv,FUNCTIONAL SYSTEM,FUNCTIONAL SYSTEM
USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__2.csv,TURNING LANES-LEFT,TURNING LANES-LEFT
UK_CSV0000000000003896__3.csv,UK_CSV0000000000003896__8.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000003896__3.csv,UK_CSV0000000000003896__8.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
UK_CSV0000000000005854__10.csv,UK_CSV0000000000012396.csv,People on CPA,People on CPA
UK_CSV0000000000005907__48.csv,UK_CSV0000000000005907__47.csv,qd12_8_other,qd12_8_other
CAN_CSV0000000000001487__9.csv,CAN_CSV0000000000001389.csv,DATA_PAYLOAD_URI,DATA_PAYLOAD_URI
CAN_CSV0000000000001487__9.csv,CAN_CSV0000000000001389.csv,PCPN_AMT_PST1MT,PCPN_AMT_PST1MT
CAN_CSV0000000000001487__9.csv,CAN_CSV0000000000001389.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT
CAN_CSV0000000000001487__9.csv,CAN_CSV0000000000001389.csv,CLD_BAS_HGT_1,CLD_BAS_HGT_1
CAN_CSV0000000000001487__9.csv,CAN_CSV0000000000001389.csv,CLD_AMT_CODE_1,CLD_AMT_CODE_1
CAN_CSV0000000000001487__9.csv,CAN_CSV0000000000001389.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
CAN_CSV0000000000001487__9.csv,CAN_CSV0000000000001389.csv,ICAO_STN_ID,ICAO_STN_ID
