source,compare,col_iguais,col_diferentes,col_dificuldade
USA_CSV0000000000035331__20.csv,USA_CSV0000000000035331__21.csv,10,2,0.16666666666666666
USA_CSV0000000000034070__10.csv,USA_CSV0000000000033169__4.csv,1,27,0.9642857142857143
USA_CSV0000000000034882__25.csv,USA_CSV0000000000033847__4.csv,5,46,0.9019607843137255
USA_CSV0000000000037169__18.csv,USA_CSV0000000000037169__15.csv,9,2,0.18181818181818182
USA_CSV0000000000033169__3.csv,USA_CSV0000000000033169__4.csv,16,2,0.1111111111111111
USA_CSV0000000000033169__2.csv,USA_CSV0000000000034070__24.csv,5,28,0.8484848484848485
USA_CSV0000000000035331__30.csv,USA_CSV0000000000035331__7.csv,22,39,0.639344262295082
USA_CSV0000000000033169__10.csv,USA_CSV0000000000034070__20.csv,3,36,0.9230769230769231
USA_CSV0000000000035331__11.csv,USA_CSV0000000000035331__10.csv,41,2,0.046511627906976744
USA_CSV0000000000033847__10.csv,USA_CSV0000000000033847__7.csv,39,4,0.09302325581395349
USA_CSV0000000000035085__7.csv,USA_CSV0000000000035085__6.csv,10,2,0.16666666666666666
USA_CSV0000000000034070__20.csv,USA_CSV0000000000033169__14.csv,3,36,0.9230769230769231
USA_CSV0000000000034543__11.csv,USA_CSV0000000000034543__10.csv,6,4,0.4
USA_CSV0000000000037101__35.csv,USA_CSV0000000000037101__31.csv,18,2,0.1
USA_CSV0000000000034882__25.csv,USA_CSV0000000000034882__24.csv,27,4,0.12903225806451613
USA_CSV0000000000034882__31.csv,USA_CSV0000000000034882__34.csv,4,4,0.5
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,14,2,0.125
USA_CSV0000000000035902__38.csv,USA_CSV0000000000035902__35.csv,12,2,0.14285714285714285
USA_CSV0000000000037101__27.csv,USA_CSV0000000000037101__24.csv,44,2,0.043478260869565216
USA_CSV0000000000037101__20.csv,USA_CSV0000000000037101__22.csv,14,2,0.125
USA_CSV0000000000035554__16.csv,USA_CSV0000000000035554__22.csv,11,46,0.8070175438596491
USA_CSV0000000000035745.csv,USA_CSV0000000000036730.csv,11,12,0.5217391304347826
USA_CSV0000000000035934.csv,USA_CSV0000000000000960.csv,10,40,0.8
USA_CSV0000000000017680.csv,USA_CSV0000000000004478.csv,2,42,0.9545454545454546
USA_CSV0000000000033413.csv,USA_CSV0000000000035866.csv,14,15,0.5172413793103449
USA_CSV0000000000034990.csv,USA_CSV0000000000032644.csv,4,8,0.6666666666666666
USA_CSV0000000000033543.csv,USA_CSV0000000000034329.csv,10,2,0.16666666666666666
USA_CSV0000000000033066.csv,USA_CSV0000000000036885.csv,13,27,0.675
USA_CSV0000000000035827.csv,USA_CSV0000000000034329.csv,10,2,0.16666666666666666
USA_CSV0000000000034329.csv,USA_CSV0000000000033092.csv,10,2,0.16666666666666666
USA_CSV0000000000014698.csv,USA_CSV0000000000036126.csv,5,2,0.2857142857142857
USA_CSV0000000000036479.csv,USA_CSV0000000000005707.csv,10,20,0.6666666666666666
USA_CSV0000000000035712.csv,USA_CSV0000000000033600.csv,16,17,0.5151515151515151
USA_CSV0000000000034122.csv,USA_CSV0000000000034107.csv,12,19,0.6129032258064516
USA_CSV0000000000035654.csv,USA_CSV0000000000036126.csv,5,3,0.375
USA_CSV0000000000008574.csv,USA_CSV0000000000024984.csv,13,4,0.23529411764705882
USA_CSV0000000000033537.csv,USA_CSV0000000000034417.csv,19,9,0.32142857142857145
USA_CSV0000000000033944.csv,USA_CSV0000000000031309.csv,8,3,0.2727272727272727
USA_CSV0000000000033432.csv,USA_CSV0000000000034366.csv,24,2,0.07692307692307693
USA_CSV0000000000034847.csv,USA_CSV0000000000036730.csv,4,24,0.8571428571428571
USA_CSV0000000000023803.csv,USA_CSV0000000000034174.csv,7,434,0.9841269841269841
USA_CSV0000000000008127.csv,USA_CSV0000000000024984.csv,13,4,0.23529411764705882
USA_CSV0000000000006400.csv,USA_CSV0000000000014928.csv,63,13,0.17105263157894737
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__9.csv,12,40,0.7692307692307693
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__19.csv,10,50,0.8333333333333334
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__26.csv,7,38,0.8444444444444444
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__18.csv,10,50,0.8333333333333334
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__20.csv,10,50,0.8333333333333334
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__3.csv,10,47,0.8245614035087719
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__2.csv,10,47,0.8245614035087719
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__1.csv,10,47,0.8245614035087719
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__28.csv,7,38,0.8444444444444444
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__21.csv,10,50,0.8333333333333334
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__14.csv,6,46,0.8846153846153846
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__15.csv,6,46,0.8846153846153846
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__0.csv,4,42,0.9130434782608695
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__5.csv,4,42,0.9130434782608695
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__29.csv,12,44,0.7857142857142857
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__19.csv,6,39,0.8666666666666667
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__22.csv,6,39,0.8666666666666667
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__24.csv,12,44,0.7857142857142857
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__4.csv,4,42,0.9130434782608695
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__1.csv,4,42,0.9130434782608695
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__2.csv,4,42,0.9130434782608695
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__31.csv,4,34,0.8947368421052632
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__0.csv,10,47,0.8245614035087719
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__32.csv,5,32,0.8648648648648649
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__24.csv,16,34,0.68
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__4.csv,14,39,0.7358490566037735
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__28.csv,16,34,0.68
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__13.csv,7,39,0.8478260869565217
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__12.csv,6,46,0.8846153846153846
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__16.csv,6,46,0.8846153846153846
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__26.csv,16,34,0.68
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__29.csv,16,34,0.68
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__1.csv,14,39,0.7358490566037735
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__17.csv,7,39,0.8478260869565217
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__33.csv,3,31,0.9117647058823529
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__34.csv,3,31,0.9117647058823529
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__31.csv,3,31,0.9117647058823529
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__21.csv,6,39,0.8666666666666667
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__20.csv,5,28,0.8484848484848485
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__33.csv,5,31,0.8611111111111112
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__34.csv,5,31,0.8611111111111112
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__11.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__10.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__26.csv,5,46,0.9019607843137255
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__24.csv,10,50,0.8333333333333334
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__31.csv,5,31,0.8611111111111112
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__28.csv,5,46,0.9019607843137255
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__8.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__28.csv,10,50,0.8333333333333334
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__24.csv,5,46,0.9019607843137255
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__10.csv,5,38,0.8837209302325582
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__19.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__29.csv,11,50,0.819672131147541
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__18.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__20.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__3.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__6.csv,5,38,0.8837209302325582
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__21.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__19.csv,9,37,0.8043478260869565
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__22.csv,9,37,0.8043478260869565
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__11.csv,5,38,0.8837209302325582
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__9.csv,5,38,0.8837209302325582
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__20.csv,6,30,0.8333333333333334
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__2.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__1.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__0.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__31.csv,5,36,0.8780487804878049
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__4.csv,10,51,0.8360655737704918
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__9.csv,8,52,0.8666666666666667
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__11.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__10.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__3.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__1.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__15.csv,10,42,0.8076923076923077
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__4.csv,10,51,0.8360655737704918
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__8.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__0.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__9.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__12.csv,12,38,0.76
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__8.csv,8,52,0.8666666666666667
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__16.csv,12,38,0.76
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__7.csv,8,52,0.8666666666666667
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__29.csv,11,50,0.819672131147541
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__24.csv,10,50,0.8333333333333334
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__19.csv,9,37,0.8043478260869565
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__28.csv,10,50,0.8333333333333334
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__22.csv,9,37,0.8043478260869565
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__24.csv,10,52,0.8387096774193549
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__10.csv,5,38,0.8837209302325582
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__33.csv,5,31,0.8611111111111112
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__19.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__34.csv,5,31,0.8611111111111112
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__18.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__26.csv,5,46,0.9019607843137255
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__6.csv,5,38,0.8837209302325582
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__28.csv,5,46,0.9019607843137255
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__21.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__31.csv,5,31,0.8611111111111112
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__20.csv,6,30,0.8333333333333334
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__21.csv,7,28,0.8
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__19.csv,7,28,0.8
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__4.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__6.csv,8,52,0.8666666666666667
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__24.csv,5,46,0.9019607843137255
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__13.csv,5,47,0.9038461538461539
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__1.csv,10,51,0.8360655737704918
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__14.csv,12,38,0.76
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__15.csv,10,42,0.8076923076923077
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__24.csv,10,52,0.8387096774193549
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__9.csv,10,44,0.8148148148148148
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__12.csv,12,38,0.76
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__8.csv,8,52,0.8666666666666667
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__16.csv,12,38,0.76
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__7.csv,8,52,0.8666666666666667
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__16.csv,4,42,0.9130434782608695
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__15.csv,4,42,0.9130434782608695
USA_CSV0000000000033847__5.csv,USA_CSV0000000000037101__14.csv,4,42,0.9130434782608695
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__11.csv,8,44,0.8461538461538461
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__10.csv,8,44,0.8461538461538461
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__8.csv,8,44,0.8461538461538461
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__9.csv,8,44,0.8461538461538461
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__10.csv,9,32,0.7804878048780488
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__24.csv,14,44,0.7586206896551724
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__6.csv,9,32,0.7804878048780488
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__19.csv,10,37,0.7872340425531915
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__16.csv,7,38,0.8444444444444444
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__28.csv,14,44,0.7586206896551724
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__22.csv,10,37,0.7872340425531915
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__15.csv,7,38,0.8444444444444444
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__14.csv,7,38,0.8444444444444444
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__11.csv,9,32,0.7804878048780488
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__9.csv,9,32,0.7804878048780488
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__26.csv,14,44,0.7586206896551724
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__29.csv,14,44,0.7586206896551724
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__21.csv,10,37,0.7872340425531915
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__4.csv,15,43,0.7413793103448276
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__1.csv,15,43,0.7413793103448276
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__5.csv,15,43,0.7413793103448276
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__20.csv,10,37,0.7872340425531915
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__27.csv,14,44,0.7586206896551724
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__2.csv,15,43,0.7413793103448276
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__3.csv,15,43,0.7413793103448276
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__0.csv,15,43,0.7413793103448276
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__33.csv,5,33,0.868421052631579
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__5.csv,5,46,0.9019607843137255
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__19.csv,13,50,0.7936507936507936
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__34.csv,5,33,0.868421052631579
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__29.csv,14,46,0.7666666666666667
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__18.csv,13,50,0.7936507936507936
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__20.csv,13,50,0.7936507936507936
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__10.csv,12,42,0.7777777777777778
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__3.csv,10,53,0.8412698412698413
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__11.csv,12,42,0.7777777777777778
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__2.csv,10,53,0.8412698412698413
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__1.csv,10,53,0.8412698412698413
USA_CSV0000000000034882__26.csv,USA_CSV0000000000037101__20.csv,2,40,0.9523809523809523
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__21.csv,13,50,0.7936507936507936
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__19.csv,13,51,0.796875
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__29.csv,16,43,0.7288135593220338
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__18.csv,13,51,0.796875
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__20.csv,13,51,0.796875
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__3.csv,9,56,0.8615384615384616
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__2.csv,9,56,0.8615384615384616
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__1.csv,9,56,0.8615384615384616
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__21.csv,13,51,0.796875
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__19.csv,8,42,0.84
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__0.csv,9,56,0.8615384615384616
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__22.csv,8,42,0.84
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__24.csv,16,43,0.7288135593220338
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__33.csv,7,30,0.8108108108108109
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__34.csv,7,30,0.8108108108108109
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__11.csv,14,39,0.7358490566037735
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__10.csv,14,39,0.7358490566037735
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,10,39,0.7959183673469388
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__31.csv,7,30,0.8108108108108109
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__28.csv,10,39,0.7959183673469388
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__31.csv,7,35,0.8333333333333334
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__8.csv,14,39,0.7358490566037735
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__24.csv,10,39,0.7959183673469388
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__32.csv,7,35,0.8333333333333334
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__9.csv,14,39,0.7358490566037735
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__1.csv,13,48,0.7868852459016393
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__6.csv,14,39,0.7358490566037735
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__5.csv,13,48,0.7868852459016393
