Agency Number - Agency Name,Agency Contract No.,Agency Contract Amendment No.,"Contractor Name
(Search for Vendor)",Contractor Name D/B/A (Optional),Statewide Vendor Number (Optional),Purpose of the Contract,Purpose of the Contract Description (Optional),Contract Effective Start Date,Contract Effective End Date,Period of Performance Start Date,Period of Performance End Date,Federal Amount,State Amount,Other Amount,Cost of Contract,Explanation of Costs (Optional),Contract Modifications,Procurement Type,Non-Financial Contract Yes/No (Optional),Minority/Woman Owned,Small Business,Veteran
085 - Office of the Secretary of State,7451,7451,San Juan County Dept of Comm Dev,,,NZ - Other Grants and Benefits,,04/19/2022 12:00:00 AM,2024-12-31T00:00:00.000,04/19/2022 12:00:00 AM,2024-12-31T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,12/200,12/200,Ellensburg Public Library,,,ER - Other Contractual Services,,02/10/2012 12:00:00 AM,,02/10/2012 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6916,6916,City of Richland,,,ER - Other Contractual Services,,04/15/2020 12:00:00 AM,,04/15/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7783,7783,Asotin County Rural Library Dist,,,ER - Other Contractual Services,,05/17/2023 12:00:00 AM,,05/17/2023 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7746,7746,South Puget Sound Comm College,,,ER - Other Contractual Services,,05/31/2023 12:00:00 AM,2024-12-31T00:00:00.000,05/31/2023 12:00:00 AM,2024-12-31T00:00:00.000,$   - 0,"$   272,838.00",$   - 0,"$   272,838.00",,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7699,7699,Tiffany Midge,,,CZ - Other Professional Services,,02/14/2023 12:00:00 AM,2023-09-30T00:00:00.000,02/14/2023 12:00:00 AM,2023-09-30T00:00:00.000,$   - 0,$   250.00,$   - 0,$   250.00,,Direct Buy - Non Competitive,Direct Buy - Non Competitive,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K589,K589,L61Productions LLC,,SWV0295104-00,CZ - Other Professional Services,Digital Equity Awareness Media (Equity),06/27/2024 12:00:00 AM,2024-07-15T00:00:00.000,06/27/2024 12:00:00 AM,2024-07-15T00:00:00.000,$   - 0,"$   40,000.00",$   - 0,"$   40,000.00",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Y,Not Certified
085 - Office of the Secretary of State,7670,7670,Cowlitz County,,,ER - Other Contractual Services,,01/31/2023 12:00:00 AM,2024-12-31T00:00:00.000,01/31/2023 12:00:00 AM,2024-12-31T00:00:00.000,$   - 0,"$   (57,550.00)",$   - 0,"$   (57,550.00)",,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7237,7237,Mid-Columbia Libraries,,,ER - Other Contractual Services,,09/09/2021 12:00:00 AM,,09/09/2021 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
082 - Public Disclosure Commission,PR_23-118,PR_23-118,Zoom Video Communications,,0215837-00,EJ - Subscriptions,Zoom Subscription,04/20/2024 12:00:00 AM,2025-04-19T00:00:00.000,04/20/2024 12:00:00 AM,2025-04-19T00:00:00.000,$   - 0,$   329.18,$   - 0,$   329.18,,Annual Contract,Direct Buy - Non-Competitive,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6720,6720,Yakima County Auditor,,,EY - Software Licenses and Maintenance,,03/04/2020 12:00:00 AM,,03/04/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K423,K423,Department of Transportation,"TRANSPORTATION, DEPARTMENT OF (DOT)",SWV0008011-40,EZ - Other Goods and Services,WSDOT IAA - Cost for Washington D.C. Office 2023-25 (GOV),05/22/2023 12:00:00 AM,2025-06-30T00:00:00.000,05/22/2023 12:00:00 AM,2025-06-30T00:00:00.000,$   - 0,"$   (86,000.00)",$   - 0,"$   (86,000.00)",Interlocal Agreement,,Interlocal Agreement,No,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,10/025,10/025-2,Whatcom County Library System,,,ER - Other Contractual Services,,08/12/2011 12:00:00 AM,,08/12/2011 12:00:00 AM,,$   1.00,$   - 0,$   - 0,$   1.00,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6697,6697,Jefferson County Auditor,,,EY - Software Licenses and Maintenance,,11/25/2019 12:00:00 AM,,11/25/2019 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K497,K497,The Caspian Group LLC,,SWV0295305-00,EZ - Other Goods and Services,Federal Funding Roadmap (GOV),08/17/2023 12:00:00 AM,2023-10-31T00:00:00.000,08/17/2023 12:00:00 AM,2023-10-31T00:00:00.000,$   - 0,"$   40,000.00",$   - 0,"$   40,000.00",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Y,Not Certified
075 - Office of the Governor,K536,K536,"Leneker Team LLC, The",Amy Leneker,SWV0247204-00,ER - Other Contractual Services,Team Agreement Facilitation (WSWC),09/15/2023 12:00:00 AM,2023-10-06T00:00:00.000,09/15/2023 12:00:00 AM,2023-10-06T00:00:00.000,$   - 0,"$   1,500.00",,"$   1,500.00",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,5828,5828,Military Department,,,ER - Other Contractual Services,,04/06/2017 12:00:00 AM,,04/06/2017 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7797,7797,Jay Varner,,,CZ - Other Professional Services,,04/26/2023 12:00:00 AM,2024-04-25T00:00:00.000,04/26/2023 12:00:00 AM,2024-04-25T00:00:00.000,$   - 0,$   - 0,$   - 0,,,,non-financial non-interlocal,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7702,7702,Sec Fund 001,,,ER - Other Contractual Services,,02/14/2023 12:00:00 AM,,02/14/2023 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7757,7757,Grays Harbor County Auditor,,,NZ - Other Grants and Benefits,,01/03/2023 12:00:00 AM,2023-07-31T00:00:00.000,01/03/2023 12:00:00 AM,2023-07-31T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
083 - Washington State Leadership Board,4718,4718,"T-Mobile USA, Inc",,SWV0077752,EB - Communications and Telecommunications Services,"Wireless Date, Voice & Accessories",07/01/2019 12:00:00 AM,2029-08-30T00:00:00.000,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,"$   12,249.92",,"$   12,249.92",The State Amount and Cost of Contract columns reflect the sum of expenditures for Fiscal Year 2024,,Statewide Contract,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K437,K437,The Elite Collectice,Elite Collective,T000197828,EZ - Other Goods and Services,Elite Collective Media Assets (Equity),06/09/2023 12:00:00 AM,2023-07-31T00:00:00.000,06/09/2023 12:00:00 AM,2023-06-30T00:00:00.000,$   - 0,"$   40,000.00",$   - 0,"$   40,000.00",Direct Buy,,Direct Buy - Non-Competitive,No,Minority Owned Business,Y,Not Certified
085 - Office of the Secretary of State,6853,6853,Mason County,,,NZ - Other Grants and Benefits,,10/03/2022 12:00:00 AM,,10/03/2022 12:00:00 AM,,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6388,6388,Legislative Service Center,,,EB - Communications/Telecommunications,,07/01/2019 12:00:00 AM,2024-06-30T00:00:00.000,07/01/2019 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,"$   1,434.00",$   - 0,"$   1,434.00",,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,10/025,10/025-1,Whatcom County Library System,,,ER - Other Contractual Services,,11/12/2010 12:00:00 AM,,11/12/2010 12:00:00 AM,,$   1.00,$   - 0,$   - 0,$   1.00,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K399,K399-1,Tacoma City of,Greater Tacoma Convention Center,SWV0000318-41,EZ - Other Goods and Services,2023 Equity Convenings (Equity),08/24/2023 12:00:00 AM,2023-10-30T00:00:00.000,10/03/2023 12:00:00 AM,2023-10-30T00:00:00.000,$   - 0,"$   9,600.00",$   - 0,"$   9,600.00",Interlocal Agreement,Increase scope and add funds,Interlocal Agreement,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7042,7042,Clark County Auditor,,,NZ - Other Grants and Benefits,,08/26/2020 12:00:00 AM,2024-06-30T00:00:00.000,08/26/2020 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6758,6758,Wahkiakum Co Auditor,,,ER - Other Contractual Services,,12/18/2019 12:00:00 AM,,12/18/2019 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7701,7701,Vashon-Maury Heritage Association,,,ER - Other Contractual Services,,02/15/2023 12:00:00 AM,,02/15/2023 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,12/160,12/160-2,Ritzville Public Library,,,ER - Other Contractual Services,,02/12/2016 12:00:00 AM,,02/12/2016 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
082 - Public Disclosure Commission,PR_24-166,PR_24-166,cloudPWR,,,EY - Software Licenses and Maintenance,Quillix Capture Annual Software,06/24/2024 12:00:00 AM,2025-06-24T00:00:00.000,06/24/2024 12:00:00 AM,2025-06-24T00:00:00.000,$   - 0,"$   3,878.26",$   - 0,"$   3,878.26",,Annual Contract,Direct Buy - Non-Competitive,,Not Certified,Y,Not Certified
085 - Office of the Secretary of State,3852,3852,Ellensburg City of,,,NZ - Other Grants and Benefits,,04/24/2008 12:00:00 AM,,04/24/2008 12:00:00 AM,,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
082 - Public Disclosure Commission,PR_24-027,PR_24-027,Randklev Illustration,,0244672-00,EF - Printing and Reproduction,Annual Report Services,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,"$   1,200.00",$   - 0,"$   1,200.00",,As Needed Contract,Direct Buy - Non-Competitive,,Woman Owned Business,Y,Not Certified
085 - Office of the Secretary of State,7784,7784,Bellingham Public Library,,,ER - Other Contractual Services,,05/16/2023 12:00:00 AM,,05/16/2023 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K629,K629,Dept of Commerce,,SWV0007526-99,EZ - Other Goods and Services,Fleet vehicle usage (GOV),06/28/2024 12:00:00 AM,2026-06-30T00:00:00.000,06/28/2024 12:00:00 AM,2026-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,Interlocal Agreement,,Interlocal Agreement,Y,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K586,K586,Wash St Arts Commission,,SWV0011474-00,CZ - Other Professional Services,Inslee's Portrait (GOV),05/16/2024 12:00:00 AM,2025-03-31T00:00:00.000,05/16/2024 12:00:00 AM,2025-03-31T00:00:00.000,$   - 0,"$   60,000.00",$   - 0,"$   60,000.00",Interlocal Agreement,,Interlocal Agreement,N,Not Certified,Y,Not Certified
085 - Office of the Secretary of State,7730,7730,South Puget Sound Community College,,,NZ - Other Grants and Benefits,,04/06/2023 12:00:00 AM,2023-08-31T00:00:00.000,04/06/2023 12:00:00 AM,2023-08-31T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6831,6831,Adams County Auditor,,,ER - Other Contractual Services,,01/06/2021 12:00:00 AM,,01/06/2021 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,4644,4644,Libraries of Stevens County,,,ER - Other Contractual Services,,07/13/2009 12:00:00 AM,,07/13/2009 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7499,7499,Humanities Washington,,,CZ - Other Professional Services,,07/01/2022 12:00:00 AM,2024-07-31T00:00:00.000,07/01/2022 12:00:00 AM,2024-07-31T00:00:00.000,$   - 0,"$   1,000,000.00",$   - 0,"$   1,000,000.00",,Sole Source,Sole Source,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6744,6744,Lewis Co Auditor,,,ER - Other Contractual Services,,12/03/2019 12:00:00 AM,,12/03/2019 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7667,7667,Amigos Library Services,,,EY - Software Licenses and Maintenance,,04/26/2023 12:00:00 AM,2024-03-31T00:00:00.000,04/26/2023 12:00:00 AM,2024-03-31T00:00:00.000,"$   19,710.00",$   - 0,$   - 0,"$   19,710.00",,Direct Buy - Non Competitive,Direct Buy - Non Competitive,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K560,K560,Ross Strategic,,T000209828,EZ - Other Goods and Services,Pacific Coast Climate Leadership Action Plan (Policy),04/01/2024 12:00:00 AM,2025-03-31T00:00:00.000,04/01/2024 12:00:00 AM,2025-03-31T00:00:00.000,$   - 0,"$   100,000.00",$   - 0,"$   100,000.00",Sole Source Exempt,,Sole Source Exempt,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6752,6752,Skagit County Auditor,,,ER - Other Contractual Services,,12/18/2019 12:00:00 AM,,12/18/2019 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,11/060,11/060-2,Puyallup Public Library,,,ER - Other Contractual Services,,02/11/2016 12:00:00 AM,,02/11/2016 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,11/066,11/066,San Juan Island Library District,,,ER - Other Purchased Services,,07/22/2010 12:00:00 AM,,07/22/2010 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6849,6849,Kittitas County Auditor Election,,,ER - Other Contractual Services,,08/12/2020 12:00:00 AM,,08/12/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,11/055,11/055-1,North Olympic Library System,,,ER - Other Contractual Services,,02/10/2012 12:00:00 AM,,02/10/2012 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K513,K513,Heru Health & Wellness,,SWV0309466-00,EZ - Other Goods and Services,2023 Summit Speaker (Equity),10/20/2024 12:00:00 AM,2023-10-26T00:00:00.000,10/20/2024 12:00:00 AM,2023-10-26T00:00:00.000,$   - 0,"$   1,500.00",,"$   1,500.00",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7463,7463,Energy Systems Mgmt TRS Inc,,,"EE - Repairs, Alterations & Maintenance",,07/01/2022 12:00:00 AM,2024-06-30T00:00:00.000,07/01/2022 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,"$   7,135.04",$   - 0,"$   7,135.04",,Master Contract,Master Contract,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K618,K618,Scholar fund,,SWV0273715-00,EZ - Other Goods and Services,Connect with CRP Assistance (Equity),06/24/2024 12:00:00 AM,2024-08-31T00:00:00.000,06/24/2024 12:00:00 AM,2024-08-31T00:00:00.000,$   - 0,"$   40,000.00",$   - 0,"$   40,000.00",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Y,Not Certified
085 - Office of the Secretary of State,12/157,12/157,Columbia County Rural Library District,,,ER - Other Contractual Services,,11/23/2011 12:00:00 AM,,11/23/2011 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6713,6713,Spokane Co Auditor,,,EY - Software Licenses and Maintenance,,02/07/2020 12:00:00 AM,,02/07/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K496,K496,"Leneker Team LLC, The",,SWV0247204-00,EZ - Other Goods and Services,Leadership Facilition (OCO),08/09/2023 12:00:00 AM,2023-10-31T00:00:00.000,08/09/2023 12:00:00 AM,2023-10-31T00:00:00.000,$   - 0,"$   18,782.76",$   - 0,"$   18,782.76",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6834,6834,Chelan County Auditor,,,ER - Other Contractual Services,,04/13/2020 12:00:00 AM,,04/13/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7047,7047,Thurston County Auditor,,,NZ - Other Grants and Benefits,,08/21/2020 12:00:00 AM,2024-06-30T00:00:00.000,08/21/2020 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6943,6943,Okanogan County,,,NZ - Other Grants and Benefits,,06/02/2020 12:00:00 AM,2024-09-30T00:00:00.000,06/02/2020 12:00:00 AM,2024-09-30T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7647,7647,Richland City of,,,NZ - Other Grants and Benefits,,10/26/2022 12:00:00 AM,2024-06-30T00:00:00.000,10/26/2022 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,12/197,12/197,Kalama Public Library,,,ER - Other Contractual Services,,02/16/2012 12:00:00 AM,,02/16/2012 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Sole Source,Sole Source,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6714,6714,Stevens Co Auditor Elections,,,EY - Software Licenses and Maintenance,,01/13/2020 12:00:00 AM,,01/13/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
000 - Washington State Commission on Pesticide Registration,24PN017,24PN017,Agriculture Development Group Inc,,,CF - Technical Research Services,Snails on Raspberry Research,01/20/2024 12:00:00 AM,2024-12-31T00:00:00.000,01/20/2024 12:00:00 AM,2024-12-31T00:00:00.000,,,"$   14,500.00","$   14,500.00",,,Competitive,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6351,6351,WA Secretary of State-Elections,,,TC - Professional Service Contracts,,02/27/2019 12:00:00 AM,2024-12-31T00:00:00.000,02/27/2019 12:00:00 AM,2024-12-31T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6767,6767,Edmonds Historical Museum,,,ER - Other Contractual Services,,12/04/2019 12:00:00 AM,2023-12-31T00:00:00.000,12/04/2019 12:00:00 AM,2023-12-31T00:00:00.000,$   - 0,"$   (5,000.00)",$   - 0,"$   (5,000.00)",,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7128,7128,Whatcom County Auditor -Election,,,EB - Communications/Telecommunications,,05/26/2021 12:00:00 AM,2026-06-30T00:00:00.000,05/26/2021 12:00:00 AM,2026-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K610,K610,Kauffman and Associates Inc.,,SWV0035039-00,EZ - Other Goods and Services,Digital Equity Tribal Outreach Media (Equity),06/21/2024 12:00:00 AM,2024-07-12T00:00:00.000,06/21/2024 12:00:00 AM,2024-07-12T00:00:00.000,$   - 0,"$   49,938.00",,"$   49,938.00",Statewide Contract,,Statewide Contract,N,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K605,K605,OVT Tech LLC,,SWV0314776-00,EZ - Other Goods and Services,CRP Data Dashboards (Equity),06/26/2024 12:00:00 AM,2024-12-16T00:00:00.000,06/26/2024 12:00:00 AM,2024-12-16T00:00:00.000,$   - 0,"$   115,800.00",$   - 0,"$   115,800.00",Statewide Contract,,Statewide Contract,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6933,6933,Grays Harbor County Auditor,,,NZ - Other Grants and Benefits,,06/22/2020 12:00:00 AM,2024-09-30T00:00:00.000,06/22/2020 12:00:00 AM,2024-09-30T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,11/083,11/083,Burlington Public Library,,,ER - Other Purchased Services,,08/04/2010 12:00:00 AM,,08/04/2010 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6765,6765,Benton County Auditor,,,ER - Other Contractual Services,,12/03/2019 12:00:00 AM,2025-12-31T00:00:00.000,12/03/2019 12:00:00 AM,2025-12-31T00:00:00.000,$   - 0,"$   (50,000.00)",$   - 0,"$   (50,000.00)",,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
082 - Public Disclosure Commission,500339215120,500339215120,Amazon Web Services,,0138661-00,EJ - Subscriptions,Amazon Web Services Month-to-Month Contract,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,"$   6,613.64",$   - 0,"$   6,613.64",,Annual Contract,Direct Buy - Non-Competitive,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6972,6972,WA State Military Department,,,ER - Other Contractual Services,,06/15/2020 12:00:00 AM,,06/15/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
